 Date Time CO H2S NO2 NO
 18.09.12 12:00 0.25 0.25 0.26 0.35
 -------- 13:00 0.13 0.12 0.19 0.16
 -------- 14:00 0.09 ---- 0.19 0.11
 -------- 15:00 0.09 0.12 0.22 0.10
 -------- 16:00 0.13 0.12 0.24 0.14
 18.09.12 17:00 0.14 0.25 0.23 0.13
 -------- 18:00 0.17 0.21 0.23 0.13
 -------- 19:00 0.19 0.17 0.24 0.16
 -------- 20:00 0.33 0.17 0.25 0.27
 -------- 21:00 0.39 0.21 0.26 0.35
 18.09.12 22:00 0.40 0.54 0.26 0.42
 -------- 23:00 0.31 0.12 0.24 0.30
 -------- 00:00 0.35 0.12 0.24 0.34
 -------- 01:00 0.65 0.38 0.25 0.76
 -------- 02:00 0.86 0.75 0.29 1.15
 19.09.12 03:00 0.54 0.33 0.24 0.74
 -------- 04:00 0.40 0.19 0.22 0.55
 -------- 05:00 0.41 0.17 0.20 0.59
 -------- 06:00 0.27 0.17 0.20 0.31
 -------- 07:00 0.13 0.17 0.18 0.10
 19.09.12 08:00 0.17 0.12 0.17 0.10
 -------- 09:00 0.31 0.25 0.23 0.29
 -------- 10:00 0.21 0.21 0.22 0.17
 -------- 11:00 0.18 0.25 0.21 0.14
 -------- 12:00 0.14 0.12 0.18 0.09
 19.09.12 13:00 0.13 ---- 0.18 0.07
 -------- 14:00 0.12 ---- 0.16 0.04
 -------- 15:00 0.12 0.12 0.17 0.05
 -------- 16:00 0.12 0.12 0.19 0.04
 -------- 17:00 0.15 0.19 0.25 0.07
 19.09.12 18:00 0.17 0.12 0.24 0.07
 -------- 19:00 0.15 0.21 0.25 0.06
 -------- 20:00 0.07 0.25 0.22 0.03
 -------- 21:00 0.07 0.19 0.23 0.03
 -------- 22:00 0.09 0.12 0.26 0.05
 19.09.12 23:00 0.13 0.29 0.26 0.09
 -------- 00:00 0.13 0.42 0.24 0.08
 -------- 01:00 0.09 0.31 0.23 0.07
 -------- 02:00 0.07 0.12 0.20 0.05
 -------- 03:00 0.05 ---- 0.18 0.03
 20.09.12 04:00 0.04 ---- 0.17 0.02
 -------- 05:00 0.04 0.12 0.16 0.02
 -------- 06:00 0.05 0.21 0.18 0.04
 -------- 07:00 0.07 0.21 0.18 0.06
 -------- 08:00 0.10 0.17 0.17 0.08
 20.09.12 09:00 0.09 0.29 0.16 0.08
 -------- 10:00 0.10 0.33 0.17 0.10
 -------- 11:00 0.08 0.25 0.17 0.09
