 Date Time CO H2S NO2 CHX NO
 09.01.13 12:00 0.11 ---- 0.16 1.69 0.14
 -------- 13:00 0.12 ---- 0.18 1.71 0.19
 -------- 14:00 0.12 ---- 0.17 1.71 0.19
 -------- 15:00 0.12 ---- 0.19 1.73 0.21
 -------- 16:00 0.12 ---- 0.18 1.74 0.19
 09.01.13 17:00 0.11 ---- 0.17 1.66 0.13
 -------- 18:00 0.16 ---- 0.17 1.71 0.11
 -------- 19:00 0.10 ---- 0.17 1.65 0.09
 -------- 20:00 0.08 ---- 0.17 1.65 0.09
 -------- 21:00 0.08 ---- 0.18 1.61 0.09
 09.01.13 22:00 0.07 ---- 0.17 1.63 0.09
 -------- 23:00 0.08 ---- 0.18 1.63 0.09
 -------- 00:00 0.06 ---- 0.16 1.73 0.06
 -------- 01:00 0.05 ---- 0.14 4.63 0.04
 -------- 02:00 0.04 ---- 0.12 2.07 0.03
 10.01.13 03:00 0.04 ---- 0.10 1.65 0.02
 -------- 04:00 0.04 ---- 0.10 1.62 0.01
 -------- 05:00 0.06 ---- 0.12 1.57 0.03
 -------- 06:00 0.06 ---- 0.13 1.65 0.05
 -------- 07:00 0.07 ---- 0.15 1.70 0.06
 10.01.13 08:00 0.11 ---- 0.17 1.78 0.09
 -------- 09:00 0.10 ---- 0.18 1.90 0.12
 -------- 10:00 0.11 ---- 0.18 1.90 0.14
 -------- 11:00 0.11 ---- 0.17 2.01 0.15
 -------- 12:00 0.13 ---- 0.16 1.92 0.12
 10.01.13 13:00 0.11 ---- 0.17 1.87 0.13
 -------- 14:00 0.10 ---- 0.18 1.83 0.13
 -------- 15:00 0.11 ---- 0.18 2.50 0.13
 -------- 16:00 0.10 ---- 0.17 9.19 0.12
 -------- 17:00 0.11 ---- 0.18 2.80 0.12
 10.01.13 18:00 0.17 ---- 0.18 2.21 0.13
 -------- 19:00 0.12 ---- 0.17 1.92 0.09
 -------- 20:00 0.13 ---- 0.16 1.88 0.08
 -------- 21:00 0.11 ---- 0.15 1.80 0.07
 -------- 22:00 0.10 ---- 0.15 1.74 0.07
 10.01.13 23:00 0.08 ---- 0.14 1.72 0.06
 -------- 00:00 0.08 ---- 0.14 1.67 0.06
 -------- 01:00 0.06 ---- 0.12 1.66 0.03
 -------- 02:00 0.05 ---- 0.10 1.62 0.01
 -------- 03:00 0.05 ---- 0.09 1.57 0.00
 11.01.13 04:00 0.05 ---- 0.08 1.61 0.00
 -------- 05:00 0.05 ---- 0.08 1.59 0.01
 -------- 06:00 0.05 ---- 0.07 1.62 0.01
 -------- 07:00 0.09 ---- 0.09 1.76 0.01
 -------- 08:00 0.10 ---- 0.11 1.99 0.02
 11.01.13 09:00 0.09 ---- 0.10 1.80 0.01
 -------- 10:00 0.11 ---- 0.10 1.85 0.02
 -------- 11:00 0.13 ---- 0.15 1.92 0.04
