 Date Time CO H2S NO2 CHX NO
 29.11.12 12:00 0.06 0.38 0.11 1.64 0.03
 -------- 13:00 0.05 0.25 0.11 1.62 0.04
 -------- 14:00 0.06 ---- 0.12 1.60 0.05
 -------- 15:00 0.06 0.19 0.12 1.66 0.04
 -------- 16:00 0.06 ---- 0.12 1.96 0.04
 29.11.12 17:00 0.07 ---- 0.12 2.85 0.04
 -------- 18:00 0.08 ---- 0.12 1.87 0.05
 -------- 19:00 0.07 ---- 0.10 1.76 0.03
 -------- 20:00 0.08 ---- 0.10 1.68 0.02
 -------- 21:00 0.09 ---- 0.10 1.65 0.02
 29.11.12 22:00 0.09 ---- 0.09 1.74 0.02
 -------- 23:00 0.09 ---- 0.09 1.67 0.02
 -------- 00:00 0.08 ---- 0.09 1.66 0.02
 -------- 01:00 0.07 ---- 0.08 1.61 0.02
 -------- 02:00 0.07 ---- 0.07 1.64 0.02
 30.11.12 03:00 0.06 ---- 0.07 1.56 0.01
 -------- 04:00 0.06 ---- 0.07 1.52 0.02
 -------- 05:00 0.06 ---- 0.08 1.53 0.02
 -------- 06:00 0.08 ---- 0.08 1.56 0.02
 -------- 07:00 0.07 ---- 0.09 1.61 0.02
 30.11.12 08:00 0.07 ---- 0.09 1.59 0.03
 -------- 09:00 0.08 ---- 0.09 1.66 0.04
 -------- 10:00 0.09 ---- 0.10 1.69 0.05
 -------- 11:00 0.09 ---- 0.09 3.70 0.04
 -------- 12:00 0.09 ---- 0.09 3.23 0.05
 30.11.12 13:00 0.09 ---- 0.09 1.88 0.05
 -------- 14:00 0.09 ---- 0.09 1.79 0.06
 -------- 15:00 0.10 ---- 0.09 1.79 0.06
 -------- 16:00 0.11 ---- 0.09 1.77 0.06
 -------- 17:00 0.12 ---- 0.09 1.92 0.08
 30.11.12 18:00 0.16 ---- 0.09 2.17 0.12
 -------- 19:00 0.15 ---- 0.09 2.16 0.15
 -------- 20:00 0.31 ---- 0.11 2.32 0.27
 -------- 21:00 0.24 ---- 0.13 2.17 0.32
 -------- 22:00 0.20 ---- 0.14 1.87 0.26
 30.11.12 23:00 0.19 ---- 0.12 2.06 0.21
 -------- 00:00 0.17 ---- 0.14 3.64 0.21
 -------- 01:00 0.15 ---- 0.15 7.09 0.15
 -------- 02:00 0.14 ---- 0.16 2.71 0.12
 -------- 03:00 0.19 ---- 0.16 2.26 0.19
 01.12.12 04:00 0.16 ---- 0.16 2.16 0.16
 -------- 05:00 0.09 ---- 0.15 1.77 0.10
 -------- 06:00 0.07 ---- 0.11 1.63 0.06
 -------- 07:00 0.06 ---- 0.10 1.63 0.05
 -------- 08:00 0.09 ---- 0.10 1.60 0.08
 01.12.12 09:00 0.11 ---- 0.10 1.59 0.12
 -------- 10:00 0.11 ---- 0.11 1.61 0.18
 -------- 11:00 0.17 ---- 0.12 1.75 0.24
