 Date Time CO H2S NO2 CHX NO
 03.01.13 12:00 0.10 ---- 0.19 1.71 0.11
 -------- 13:00 0.11 ---- 0.19 1.70 0.12
 -------- 14:00 0.11 ---- 0.18 1.70 0.11
 -------- 15:00 0.10 ---- 0.18 1.74 0.09
 -------- 16:00 0.08 ---- 0.16 1.74 0.06
 03.01.13 17:00 0.07 ---- 0.15 1.65 0.05
 -------- 18:00 0.07 ---- 0.14 1.62 0.06
 -------- 19:00 0.10 ---- 0.15 1.65 0.07
 -------- 20:00 0.20 ---- 0.17 1.94 0.11
 -------- 21:00 0.18 ---- 0.15 1.67 0.09
 03.01.13 22:00 0.17 ---- 0.14 1.66 0.09
 -------- 23:00 0.16 ---- 0.14 1.77 0.08
 -------- 00:00 0.16 ---- 0.14 8.09 0.09
 -------- 01:00 0.15 ---- 0.13 2.02 0.08
 -------- 02:00 0.14 ---- 0.13 1.69 0.08
 04.01.13 03:00 0.13 ---- 0.12 1.60 0.06
 -------- 04:00 0.11 ---- 0.11 1.68 0.03
 -------- 05:00 0.11 ---- 0.12 1.65 0.04
 -------- 06:00 0.11 ---- 0.13 1.66 0.04
 -------- 07:00 0.09 ---- 0.13 1.61 0.04
 04.01.13 08:00 0.07 ---- 0.13 1.54 0.04
 -------- 09:00 0.11 ---- 0.14 1.61 0.10
 -------- 10:00 0.16 ---- 0.17 2.07 0.19
 -------- 11:00 0.15 ---- 0.15 1.95 0.19
 -------- 12:00 0.11 ---- 0.16 1.82 0.14
 04.01.13 13:00 0.11 ---- 0.15 1.68 0.12
 -------- 14:00 0.13 ---- 0.16 1.61 0.13
 -------- 15:00 0.14 ---- 0.17 1.64 0.16
 -------- 16:00 0.15 ---- 0.17 1.62 0.15
 -------- 17:00 0.12 ---- 0.16 1.64 0.12
 04.01.13 18:00 0.11 ---- 0.16 1.62 0.10
 -------- 19:00 0.13 ---- 0.17 1.74 0.14
 -------- 20:00 0.16 ---- 0.17 1.90 0.20
 -------- 21:00 0.17 ---- 0.17 1.91 0.21
 -------- 22:00 0.19 ---- 0.16 2.14 0.25
 04.01.13 23:00 0.14 ---- 0.16 1.84 0.19
 -------- 00:00 0.15 ---- 0.17 1.78 0.19
 -------- 01:00 0.19 ---- 0.17 2.10 0.30
 -------- 02:00 0.27 ---- 0.18 3.06 0.38
 -------- 03:00 0.25 ---- 0.17 2.51 0.39
 05.01.13 04:00 0.13 ---- 0.16 2.17 0.20
 -------- 05:00 0.13 ---- 0.15 1.93 0.22
 -------- 06:00 0.16 ---- 0.17 2.03 0.27
 -------- 07:00 0.09 ---- 0.17 1.99 0.16
 -------- 08:00 0.07 ---- 0.16 1.96 0.09
 05.01.13 09:00 0.07 ---- 0.17 1.83 0.10
 -------- 10:00 0.10 ---- 0.17 1.83 0.15
 -------- 11:00 0.08 ---- 0.14 1.87 0.10
