 Date Time CO H2S NO2 CHX NO
 04.11.12 12:00 0.15 0.19 0.13 1.66 0.10
 -------- 13:00 0.15 0.21 0.13 1.72 0.10
 -------- 14:00 0.17 0.25 0.13 1.81 0.11
 -------- 15:00 0.16 0.17 0.14 1.84 0.11
 -------- 16:00 0.15 0.21 0.14 6.11 0.09
 04.11.12 17:00 0.14 0.12 0.13 3.28 0.09
 -------- 18:00 0.16 0.12 0.14 1.92 0.09
 -------- 19:00 0.13 0.12 0.14 1.63 0.10
 -------- 20:00 0.14 0.12 0.15 1.64 0.12
 -------- 21:00 0.11 0.12 0.15 1.64 0.12
 04.11.12 22:00 0.09 0.17 0.13 1.51 0.08
 -------- 23:00 0.09 0.17 0.13 1.49 0.09
 -------- 00:00 0.09 0.12 0.12 1.45 0.07
 -------- 01:00 0.09 0.33 0.12 1.41 0.06
 -------- 02:00 0.05 0.79 0.11 1.42 0.04
 05.11.12 03:00 0.03 0.29 0.09 1.36 0.03
 -------- 04:00 0.02 0.12 0.09 1.31 0.03
 -------- 05:00 0.03 0.17 0.10 1.31 0.03
 -------- 06:00 0.03 0.33 0.10 1.31 0.04
 -------- 07:00 0.03 0.21 0.12 1.34 0.04
 05.11.12 08:00 0.04 0.17 0.15 1.33 0.08
 -------- 09:00 0.06 0.12 0.15 1.38 0.09
 -------- 10:00 0.15 0.33 0.17 1.73 0.18
 -------- 11:00 0.11 0.17 0.16 1.74 0.16
 -------- 12:00 0.11 0.12 0.16 1.74 0.13
 05.11.12 13:00 0.07 0.17 0.15 1.62 0.09
 -------- 14:00 0.05 0.25 0.13 1.67 0.04
 -------- 15:00 0.05 0.25 0.13 1.93 0.08
 -------- 16:00 0.05 0.25 0.17 3.19 0.14
 -------- 17:00 0.07 0.21 0.16 2.41 0.17
 05.11.12 18:00 0.05 0.12 0.14 1.87 0.14
 -------- 19:00 0.06 0.12 0.12 1.71 0.09
 -------- 20:00 0.10 0.25 0.09 1.54 0.04
 -------- 21:00 0.09 0.21 0.07 1.53 0.03
 -------- 22:00 0.08 0.25 0.07 1.55 0.02
 05.11.12 23:00 0.09 0.25 0.08 1.57 0.02
 -------- 00:00 0.08 0.17 0.08 1.44 0.02
 -------- 01:00 0.08 0.17 0.08 1.41 0.02
 -------- 02:00 0.07 0.21 0.06 1.40 0.02
 -------- 03:00 0.06 0.17 0.07 1.36 0.02
 06.11.12 04:00 0.06 0.12 0.08 1.39 0.02
 -------- 05:00 0.06 0.21 0.08 1.39 0.02
 -------- 06:00 0.08 0.25 0.09 1.44 0.02
 -------- 07:00 0.08 0.25 0.10 1.53 0.02
 -------- 08:00 0.09 ---- 0.12 1.72 0.03
 06.11.12 09:00 0.10 0.19 0.13 1.74 0.04
 -------- 10:00 0.12 0.25 0.13 1.72 0.06
 -------- 11:00 0.10 0.21 0.12 1.84 0.05
