 Date Time CO H2S NO2 CHX NO
 18.02.13 12:00 0.10 ---- 0.21 1.57 0.09
 -------- 13:00 0.11 ---- 0.21 1.62 0.10
 -------- 14:00 0.11 ---- 0.21 1.64 0.09
 -------- 15:00 0.13 ---- 0.24 1.68 0.15
 -------- 16:00 0.14 ---- 0.24 1.73 0.15
 18.02.13 17:00 0.15 ---- 0.24 1.79 0.15
 -------- 18:00 0.18 ---- 0.23 1.81 0.16
 -------- 19:00 0.10 ---- 0.21 1.77 0.09
 -------- 20:00 0.09 ---- 0.21 1.71 0.07
 -------- 21:00 0.08 ---- 0.20 1.66 0.05
 18.02.13 22:00 0.07 ---- 0.19 1.62 0.04
 -------- 23:00 0.07 ---- 0.17 1.59 0.03
 -------- 00:00 0.08 ---- 0.20 1.62 0.06
 -------- 01:00 0.08 ---- 0.20 1.62 0.06
 -------- 02:00 0.08 ---- 0.21 1.64 0.06
 19.02.13 03:00 0.06 ---- 0.21 1.66 0.05
 -------- 04:00 0.07 ---- 0.21 1.71 0.07
 -------- 05:00 0.08 ---- 0.22 1.70 0.10
 -------- 06:00 0.09 ---- 0.23 1.70 0.16
 -------- 07:00 0.09 ---- 0.22 1.68 0.12
 19.02.13 08:00 0.11 ---- 0.23 1.72 0.10
 -------- 09:00 0.12 ---- 0.24 1.71 0.14
 -------- 10:00 0.13 ---- 0.24 1.80 0.15
 -------- 11:00 0.13 ---- 0.26 1.75 0.18
 -------- 12:00 0.13 ---- 0.25 1.78 0.21
 19.02.13 13:00 0.11 ---- 0.21 1.70 0.14
 -------- 14:00 0.12 ---- 0.21 1.69 0.14
 -------- 15:00 0.12 ---- 0.22 1.73 0.15
 -------- 16:00 0.11 ---- 0.24 1.82 0.17
 -------- 17:00 0.13 ---- 0.25 1.78 0.17
 19.02.13 18:00 0.13 ---- 0.26 1.75 0.18
 -------- 19:00 0.11 ---- 0.24 1.68 0.11
 -------- 20:00 0.13 ---- 0.25 1.68 0.12
 -------- 21:00 0.11 ---- 0.25 1.69 0.13
 -------- 22:00 0.13 ---- 0.26 1.71 0.14
 19.02.13 23:00 0.14 ---- 0.25 1.73 0.16
 -------- 00:00 0.11 ---- 0.25 1.72 0.13
 -------- 01:00 0.11 ---- 0.23 1.69 0.10
 -------- 02:00 0.09 ---- 0.23 1.69 0.10
 -------- 03:00 0.07 ---- 0.22 1.67 0.06
 20.02.13 04:00 0.06 ---- 0.21 1.71 0.05
 -------- 05:00 0.07 ---- 0.22 1.76 0.09
 -------- 06:00 0.08 ---- 0.23 1.74 0.11
 -------- 07:00 0.14 ---- 0.24 1.78 0.17
 -------- 08:00 0.19 ---- 0.26 1.83 0.25
 20.02.13 09:00 0.19 ---- 0.26 1.81 0.20
 -------- 10:00 0.20 ---- 0.25 1.85 0.22
 -------- 11:00 0.25 ---- 0.28 1.91 0.31
