 Date Time CO H2S NO2 NO
 14.10.12 00:00 0.36 0.31 0.20 0.42
 -------- 01:00 0.21 0.17 0.19 0.28
 -------- 02:00 0.29 0.29 0.18 0.41
 -------- 03:00 0.52 0.83 0.20 0.67
 -------- 04:00 0.42 1.79 0.17 0.54
 14.10.12 05:00 0.24 0.38 0.15 0.34
 -------- 06:00 0.22 0.12 0.15 0.35
 -------- 07:00 0.21 0.25 0.15 0.35
 -------- 08:00 0.39 0.46 0.18 0.52
 -------- 09:00 0.31 0.33 0.17 0.41
 14.10.12 10:00 0.19 0.29 0.17 0.26
 -------- 11:00 0.15 0.25 0.16 0.17
 -------- 12:00 0.12 0.25 0.16 0.13
 -------- 13:00 0.12 0.25 0.17 0.11
 -------- 14:00 0.15 0.12 0.18 0.12
 14.10.12 15:00 0.16 0.17 0.20 0.15
 -------- 16:00 0.14 0.25 0.18 0.10
 -------- 17:00 0.14 0.21 0.18 0.07
 -------- 18:00 0.11 0.25 0.17 0.04
 -------- 19:00 0.14 0.21 0.19 0.08
 14.10.12 20:00 0.19 0.21 0.20 0.15
 -------- 21:00 0.17 0.17 0.19 0.13
 -------- 22:00 0.14 0.12 0.18 0.13
 -------- 23:00 0.19 0.21 0.19 0.22
 -------- 00:00 0.39 0.33 0.21 0.45
 15.10.12 01:00 0.20 0.17 0.19 0.26
 -------- 02:00 0.13 0.17 0.18 0.13
 -------- 03:00 0.11 0.12 0.16 0.07
 -------- 04:00 0.09 0.25 0.15 0.12
 -------- 05:00 0.07 0.21 0.16 0.12
 15.10.12 06:00 0.08 0.21 0.15 0.08
 -------- 07:00 0.08 0.25 0.14 0.07
 -------- 08:00 0.11 0.25 0.14 0.09
 -------- 09:00 0.11 0.21 0.14 0.09
 -------- 10:00 0.08 0.12 0.13 0.07
 15.10.12 11:00 0.07 0.12 0.12 0.06
 -------- 12:00 0.06 0.12 0.12 0.05
 -------- 13:00 0.05 0.17 0.13 0.04
 -------- 14:00 0.05 0.12 0.13 0.04
 -------- 15:00 0.04 0.12 0.12 0.03
 15.10.12 16:00 0.04 0.12 0.12 0.02
 -------- 17:00 0.09 0.12 0.19 0.05
 -------- 18:00 0.11 0.12 0.20 0.05
 -------- 19:00 0.07 0.12 0.17 0.03
 -------- 20:00 0.07 ---- 0.14 0.02
 15.10.12 21:00 0.07 ---- 0.14 0.03
