 Date Time CO H2S NO2 CHX NO
 09.01.13 00:00 0.06 ---- 0.10 1.58 0.03
 -------- 01:00 0.06 ---- 0.10 1.59 0.02
 -------- 02:00 0.05 ---- 0.12 1.58 0.02
 -------- 03:00 0.06 ---- 0.14 1.60 0.05
 -------- 04:00 0.06 ---- 0.14 1.59 0.04
 09.01.13 05:00 0.05 ---- 0.13 1.61 0.04
 -------- 06:00 0.07 ---- 0.14 1.62 0.08
 -------- 07:00 0.08 ---- 0.13 1.61 0.07
 -------- 08:00 0.11 ---- 0.15 1.71 0.09
 -------- 09:00 0.07 ---- 0.13 1.65 0.03
 09.01.13 10:00 0.08 ---- 0.15 1.67 0.06
 -------- 11:00 0.09 ---- 0.15 1.66 0.07
 -------- 12:00 0.11 ---- 0.16 1.68 0.13
 -------- 13:00 0.12 ---- 0.18 1.71 0.19
 -------- 14:00 0.12 ---- 0.17 1.71 0.19
 09.01.13 15:00 0.12 ---- 0.19 1.73 0.21
 -------- 16:00 0.12 ---- 0.18 1.74 0.19
 -------- 17:00 0.11 ---- 0.17 1.66 0.13
 -------- 18:00 0.16 ---- 0.17 1.71 0.11
 -------- 19:00 0.10 ---- 0.17 1.65 0.09
 09.01.13 20:00 0.08 ---- 0.17 1.65 0.09
 -------- 21:00 0.08 ---- 0.18 1.61 0.09
 -------- 22:00 0.07 ---- 0.17 1.63 0.09
 -------- 23:00 0.08 ---- 0.18 1.63 0.09
 -------- 00:00 0.06 ---- 0.16 1.73 0.06
 10.01.13 01:00 0.05 ---- 0.14 4.63 0.04
 -------- 02:00 0.04 ---- 0.12 2.07 0.03
 -------- 03:00 0.04 ---- 0.10 1.65 0.02
 -------- 04:00 0.04 ---- 0.10 1.62 0.01
 -------- 05:00 0.06 ---- 0.12 1.57 0.03
 10.01.13 06:00 0.06 ---- 0.13 1.65 0.05
 -------- 07:00 0.07 ---- 0.15 1.70 0.06
 -------- 08:00 0.11 ---- 0.17 1.78 0.09
 -------- 09:00 0.10 ---- 0.18 1.90 0.12
 -------- 10:00 0.11 ---- 0.18 1.90 0.14
 10.01.13 11:00 0.11 ---- 0.17 2.01 0.15
 -------- 12:00 0.13 ---- 0.16 1.92 0.12
 -------- 13:00 0.11 ---- 0.17 1.87 0.13
 -------- 14:00 0.10 ---- 0.18 1.83 0.13
 -------- 15:00 0.11 ---- 0.18 2.50 0.13
 10.01.13 16:00 0.10 ---- 0.17 9.19 0.12
 -------- 17:00 0.11 ---- 0.18 2.80 0.12
 -------- 18:00 0.17 ---- 0.18 2.21 0.13
 -------- 19:00 0.12 ---- 0.17 1.92 0.09
 -------- 20:00 0.13 ---- 0.16 1.88 0.08
 10.01.13 21:00 0.11 ---- 0.15 1.80 0.07
 -------- 22:00 0.10 ---- 0.15 1.74 0.07
 -------- 23:00 0.08 ---- 0.14 1.72 0.06
 -------- 00:00 0.08 ---- 0.14 1.71 0.06
