 Date Time CO H2S NO2 CHX NO
 23.03.13 00:00 0.06 0.12 0.20 1.49 0.03
 -------- 01:00 0.04 0.12 0.20 1.48 0.03
 -------- 02:00 0.03 0.12 0.18 1.48 0.01
 -------- 03:00 0.04 0.12 0.20 1.49 0.02
 -------- 04:00 0.05 0.12 0.24 1.50 0.03
 23.03.13 05:00 0.04 0.12 0.23 1.48 0.03
 -------- 06:00 0.04 0.12 0.20 1.47 0.01
 -------- 07:00 0.05 0.12 0.23 1.50 0.02
 -------- 08:00 0.05 0.12 0.26 1.52 0.04
 -------- 09:00 0.06 0.12 0.26 1.53 0.04
 23.03.13 10:00 0.05 0.12 0.26 1.50 0.04
 -------- 11:00 0.06 0.12 0.26 1.54 0.03
 -------- 12:00 0.04 ---- 0.26 1.53 0.02
 -------- 13:00 0.04 ---- 0.26 1.53 0.02
 -------- 14:00 0.03 ---- 0.22 1.61 0.01
 23.03.13 15:00 0.03 ---- 0.22 1.55 0.01
 -------- 16:00 0.02 ---- 0.22 1.49 0.01
 -------- 17:00 0.03 ---- 0.23 1.49 0.01
 -------- 18:00 0.02 ---- 0.21 1.48 0.01
 -------- 19:00 0.04 0.12 0.20 1.48 0.01
 23.03.13 20:00 0.04 ---- 0.22 1.50 0.01
 -------- 21:00 0.04 0.12 0.24 1.49 0.01
 -------- 22:00 0.05 ---- 0.22 1.49 0.01
 -------- 23:00 0.04 ---- 0.20 1.48 0.01
 -------- 00:00 0.04 ---- 0.19 1.47 0.01
 24.03.13 01:00 0.04 0.12 0.19 1.47 0.01
 -------- 02:00 0.03 ---- 0.18 1.59 0.01
 -------- 03:00 0.03 0.12 0.16 1.53 0.00
 -------- 04:00 0.02 0.12 0.15 1.46 0.00
 -------- 05:00 0.02 ---- 0.18 1.46 0.00
 24.03.13 06:00 0.02 0.12 0.15 1.45 0.00
 -------- 07:00 0.03 ---- 0.15 1.45 0.01
 -------- 08:00 0.04 0.12 0.15 1.44 0.00
 -------- 09:00 0.04 0.12 0.17 1.45 0.00
 -------- 10:00 0.04 ---- 0.17 1.45 0.00
 24.03.13 11:00 0.04 0.12 0.19 1.46 0.00
 -------- 12:00 0.04 0.12 0.19 1.45 0.01
 -------- 13:00 0.04 ---- 0.19 1.46 0.01
 -------- 14:00 0.04 ---- 0.20 1.46 0.01
 -------- 15:00 0.04 ---- 0.19 1.45 0.01
 24.03.13 16:00 0.04 0.12 0.20 1.46 0.00
 -------- 17:00 0.04 ---- 0.21 1.47 0.01
 -------- 18:00 0.04 ---- 0.23 1.46 0.01
 -------- 19:00 0.04 ---- 0.21 1.45 0.00
 -------- 20:00 0.04 0.12 0.21 1.45 0.01
 24.03.13 21:00 0.04 ---- 0.20 1.45 0.01
 -------- 22:00 0.04 0.12 0.19 1.46 0.00
 -------- 23:00 0.04 ---- 0.18 1.46 0.00
 -------- 00:00 0.04 ---- 0.17 1.44 0.01
