 Date Time CO H2S NO2 NO
 12.10.12 12:00 0.27 0.25 0.27 0.43
 -------- 13:00 0.18 0.56 0.22 0.30
 -------- 14:00 0.14 0.58 0.20 0.18
 -------- 15:00 0.17 0.58 0.21 0.20
 -------- 16:00 0.11 0.25 0.18 0.12
 12.10.12 17:00 0.13 0.12 0.17 0.11
 -------- 18:00 0.14 0.12 0.17 0.17
 -------- 19:00 0.23 0.12 0.16 0.20
 -------- 20:00 0.25 0.12 0.15 0.15
 -------- 21:00 0.15 0.12 0.15 0.15
 12.10.12 22:00 0.15 0.12 0.16 0.16
 -------- 23:00 0.14 0.17 0.15 0.15
 -------- 00:00 0.11 0.25 0.13 0.10
 -------- 01:00 0.09 0.17 0.13 0.09
 -------- 02:00 0.10 0.12 0.12 0.09
 13.10.12 03:00 0.08 0.12 0.12 0.07
 -------- 04:00 0.09 0.12 0.13 0.09
 -------- 05:00 0.08 0.42 0.14 0.09
 -------- 06:00 0.09 0.67 0.14 0.12
 -------- 07:00 0.08 0.29 0.15 0.11
 13.10.12 08:00 0.10 0.25 0.14 0.13
 -------- 09:00 0.11 0.17 0.14 0.13
 -------- 10:00 0.11 0.12 0.15 0.15
 -------- 11:00 0.13 0.17 0.17 0.14
 -------- 12:00 0.13 0.25 0.17 0.14
 13.10.12 13:00 0.12 0.17 0.17 0.15
 -------- 14:00 0.11 0.17 0.16 0.12
 -------- 15:00 0.09 0.12 0.16 0.10
 -------- 16:00 0.10 0.25 0.17 0.11
 -------- 17:00 0.12 0.21 0.18 0.15
 13.10.12 18:00 0.11 0.25 0.17 0.10
 -------- 19:00 0.13 0.17 0.18 0.15
 -------- 20:00 0.16 0.12 0.19 0.17
 -------- 21:00 0.16 0.12 0.18 0.18
 -------- 22:00 0.28 0.33 0.21 0.39
 13.10.12 23:00 0.37 0.25 0.24 0.44
 -------- 00:00 0.35 0.29 0.20 0.43
 -------- 01:00 0.21 0.17 0.19 0.28
 -------- 02:00 0.29 0.29 0.18 0.41
 -------- 03:00 0.52 0.83 0.20 0.67
 14.10.12 04:00 0.42 1.79 0.17 0.54
 -------- 05:00 0.24 0.38 0.15 0.34
 -------- 06:00 0.22 0.12 0.15 0.35
 -------- 07:00 0.21 0.25 0.15 0.35
 -------- 08:00 0.39 0.46 0.18 0.52
 14.10.12 09:00 0.31 0.33 0.17 0.41
 -------- 10:00 0.19 0.29 0.17 0.26
 -------- 11:00 0.15 0.25 0.16 0.17
