 Date Time CO H2S NO2 NO
 03.10.12 12:00 0.16 ---- 0.16 0.18
 -------- 13:00 0.16 0.12 0.16 0.18
 -------- 14:00 0.17 0.25 0.17 0.22
 -------- 15:00 0.13 0.17 0.16 0.16
 -------- 16:00 0.09 0.17 0.17 0.19
 03.10.12 17:00 0.07 0.38 0.18 0.24
 -------- 18:00 0.08 0.42 0.18 0.26
 -------- 19:00 0.19 0.31 0.17 0.26
 -------- 20:00 0.43 ---- 0.17 0.26
 -------- 21:00 0.49 0.25 0.17 0.30
 03.10.12 22:00 0.50 0.25 0.17 0.31
 -------- 23:00 0.47 0.21 0.16 0.28
 -------- 00:00 0.46 0.25 0.15 0.25
 -------- 01:00 0.47 0.54 0.15 0.29
 -------- 02:00 0.48 0.62 0.13 0.28
 04.10.12 03:00 0.43 0.46 0.13 0.24
 -------- 04:00 0.38 0.46 0.12 0.21
 -------- 05:00 0.35 0.25 0.10 0.11
 -------- 06:00 0.37 0.12 0.10 0.14
 -------- 07:00 0.30 0.12 0.09 0.10
 04.10.12 08:00 0.27 0.29 0.10 0.17
 -------- 09:00 0.25 0.25 0.12 0.19
 -------- 10:00 0.23 0.25 0.10 0.12
 -------- 11:00 0.25 0.50 0.09 0.07
 -------- 12:00 0.34 0.62 0.09 0.04
 04.10.12 13:00 0.26 0.50 0.12 0.06
 -------- 14:00 0.17 0.25 0.19 0.12
 -------- 15:00 0.17 0.25 0.23 0.14
 -------- 16:00 0.15 0.38 0.23 0.11
 -------- 17:00 0.17 0.25 0.23 0.14
 04.10.12 18:00 0.20 ---- 0.24 0.18
 -------- 19:00 0.17 0.12 0.21 0.14
 -------- 20:00 0.17 0.12 0.19 0.11
 -------- 21:00 0.17 0.38 0.18 0.11
 -------- 22:00 0.25 0.54 0.18 0.15
 04.10.12 23:00 0.11 0.42 0.14 0.07
 -------- 00:00 0.06 0.21 0.11 0.04
 -------- 01:00 0.04 0.12 0.10 0.03
 -------- 02:00 0.04 0.81 0.13 0.03
 -------- 03:00 0.04 0.42 0.15 0.05
 05.10.12 04:00 0.09 0.46 0.18 0.08
 -------- 05:00 0.11 0.42 0.18 0.15
 -------- 06:00 0.12 0.50 0.18 0.14
 -------- 07:00 0.13 0.33 0.19 0.18
 -------- 08:00 0.17 0.38 0.19 0.23
 05.10.12 09:00 0.13 0.25 0.17 0.13
