 Date Time CO H2S NO2 CHX NO
 24.12.12 00:00 0.20 ---- 0.25 2.05 0.22
 -------- 01:00 0.15 ---- 0.25 1.75 0.18
 -------- 02:00 0.15 ---- 0.25 1.74 0.16
 -------- 03:00 0.11 ---- 0.25 2.58 0.15
 -------- 04:00 0.11 ---- 0.26 2.38 0.17
 24.12.12 05:00 0.11 ---- 0.25 2.15 0.12
 -------- 06:00 0.13 ---- 0.26 2.19 0.17
 -------- 07:00 0.15 ---- 0.28 2.23 0.24
 -------- 08:00 0.21 ---- 0.30 2.39 0.27
 -------- 09:00 0.25 ---- 0.31 2.57 0.30
 24.12.12 10:00 0.25 ---- 0.33 2.63 0.32
 -------- 11:00 0.27 ---- 0.33 2.69 0.35
 -------- 12:00 0.21 ---- 0.26 2.50 0.21
 -------- 13:00 0.17 ---- 0.23 2.24 0.11
 -------- 14:00 0.13 ---- 0.21 2.06 0.08
 24.12.12 15:00 0.13 ---- 0.21 1.96 0.07
 -------- 16:00 0.14 ---- 0.22 3.52 0.07
 -------- 17:00 0.20 ---- 0.27 2.75 0.21
 -------- 18:00 0.21 ---- 0.25 2.52 0.20
 -------- 19:00 0.17 ---- 0.24 2.50 0.20
 24.12.12 20:00 0.13 ---- 0.23 2.32 0.16
 -------- 21:00 0.11 ---- 0.22 2.06 0.08
 -------- 22:00 0.15 ---- 0.20 2.09 0.06
 -------- 23:00 0.09 ---- 0.20 1.91 0.04
 -------- 00:00 0.07 ---- 0.18 1.80 0.02
 25.12.12 01:00 0.05 ---- 0.16 1.73 0.01
 -------- 02:00 0.04 ---- 0.12 1.65 0.00
 -------- 03:00 0.04 ---- 0.10 1.61 ----
 -------- 04:00 0.03 ---- 0.08 1.59 0.00
 -------- 05:00 0.03 ---- 0.08 1.57 0.00
 25.12.12 06:00 0.04 ---- 0.11 1.72 0.01
 -------- 07:00 0.05 ---- 0.13 1.74 0.01
 -------- 08:00 0.04 ---- 0.15 1.77 0.02
 -------- 09:00 0.07 ---- 0.18 2.01 0.04
 -------- 10:00 0.07 ---- 0.18 1.90 0.06
 25.12.12 11:00 0.06 ---- 0.17 1.91 0.06
 -------- 12:00 0.07 ---- 0.17 1.84 0.07
 -------- 13:00 0.09 ---- 0.17 2.11 0.07
 -------- 14:00 0.07 ---- 0.18 2.68 0.08
 -------- 15:00 0.09 ---- 0.19 3.93 0.08
 25.12.12 16:00 0.08 ---- 0.18 1.94 0.08
 -------- 17:00 0.08 ---- 0.18 1.91 0.08
 -------- 18:00 0.11 ---- 0.18 1.97 0.07
 -------- 19:00 0.10 ---- 0.16 1.99 0.05
 -------- 20:00 0.11 ---- 0.15 1.91 0.04
 25.12.12 21:00 0.10 ---- 0.15 1.91 0.03
 -------- 22:00 0.10 ---- 0.14 1.88 0.03
 -------- 23:00 0.10 ---- 0.14 1.89 0.02
