 Date Time CO H2S NO2 NO
 01.10.12 00:00 0.06 0.12 0.10 0.02
 -------- 01:00 0.06 0.12 0.08 0.02
 -------- 02:00 0.05 0.12 0.07 0.01
 -------- 03:00 0.04 0.12 0.07 0.01
 -------- 04:00 0.04 0.12 0.07 0.01
 01.10.12 05:00 0.04 0.12 0.08 0.02
 -------- 06:00 0.05 0.12 0.10 0.03
 -------- 07:00 0.07 0.12 0.13 0.05
 -------- 08:00 0.10 0.25 0.13 0.04
 -------- 09:00 0.10 0.17 0.14 0.05
 01.10.12 10:00 0.10 0.12 0.14 0.05
 -------- 11:00 0.10 0.12 0.13 0.05
 -------- 12:00 0.09 0.12 0.13 0.05
 -------- 13:00 0.10 0.12 0.13 0.06
 -------- 14:00 0.10 0.12 0.14 0.06
 01.10.12 15:00 0.10 0.12 0.14 0.06
 -------- 16:00 0.10 0.12 0.13 0.05
 -------- 17:00 0.11 0.12 0.16 0.06
 -------- 18:00 0.15 ---- 0.18 0.09
 -------- 19:00 0.13 0.12 0.19 0.09
 01.10.12 20:00 0.12 0.12 0.21 0.12
 -------- 21:00 0.14 0.17 0.21 0.13
 -------- 22:00 0.16 0.17 0.21 0.14
 -------- 23:00 0.23 0.25 0.22 0.28
 -------- 00:00 0.22 0.21 0.21 0.26
 02.10.12 01:00 0.65 0.42 0.24 0.74
 -------- 02:00 0.59 1.12 0.24 0.73
 -------- 03:00 0.23 1.50 0.20 0.43
 -------- 04:00 0.19 0.96 0.17 0.25
 -------- 05:00 0.23 0.58 0.17 0.36
 02.10.12 06:00 0.37 0.58 0.20 0.62
 -------- 07:00 0.42 0.42 0.21 0.67
 -------- 08:00 0.51 0.38 0.24 0.71
 -------- 09:00 0.43 0.29 0.25 0.70
 -------- 10:00 0.36 0.25 0.25 0.56
 02.10.12 11:00 0.23 0.25 0.22 0.35
 -------- 12:00 0.13 ---- 0.18 0.16
 -------- 13:00 0.11 0.12 0.18 0.12
 -------- 14:00 0.09 0.21 0.17 0.09
 -------- 15:00 0.10 0.12 0.17 0.08
 02.10.12 16:00 0.11 0.12 0.20 0.11
 -------- 17:00 0.15 0.17 0.23 0.13
 -------- 18:00 0.22 0.17 0.23 0.17
 -------- 19:00 0.21 0.38 0.23 0.22
 -------- 20:00 0.26 0.54 0.24 0.28
 02.10.12 21:00 0.30 0.62 0.23 0.28
