 Date Time CO H2S NO2 NO
 08.10.12 00:00 0.28 0.44 0.21 0.30
 -------- 01:00 0.55 0.44 0.24 0.67
 -------- 02:00 0.63 0.12 0.23 0.88
 -------- 03:00 0.47 0.25 0.18 0.62
 -------- 04:00 0.40 0.42 0.18 0.59
 08.10.12 05:00 0.27 0.29 0.17 0.41
 -------- 06:00 0.10 ---- 0.17 0.11
 -------- 07:00 0.07 0.50 0.15 0.04
 -------- 08:00 0.09 0.50 0.16 0.04
 -------- 09:00 0.09 0.33 0.13 0.04
 08.10.12 10:00 0.14 0.33 0.18 0.09
 -------- 11:00 0.24 0.38 0.23 0.26
 -------- 12:00 0.19 0.29 0.23 0.20
 -------- 13:00 0.18 0.19 0.23 0.16
 -------- 14:00 0.16 ---- 0.20 0.14
 08.10.12 15:00 0.15 0.12 0.18 0.11
 -------- 16:00 0.13 0.12 0.18 0.10
 -------- 17:00 0.14 0.25 0.18 0.11
 -------- 18:00 0.15 0.25 0.17 0.09
 -------- 19:00 0.13 0.19 0.17 0.08
 08.10.12 20:00 0.09 ---- 0.17 0.09
 -------- 21:00 0.10 0.25 0.17 0.09
 -------- 22:00 0.11 0.21 0.18 0.14
 -------- 23:00 0.13 0.17 0.19 0.18
 -------- 00:00 0.14 0.21 0.19 0.19
 09.10.12 01:00 0.10 0.12 0.18 0.13
 -------- 02:00 0.05 0.12 0.16 0.10
 -------- 03:00 0.03 0.50 0.15 0.06
 -------- 04:00 0.05 0.54 0.17 0.09
 -------- 05:00 0.05 0.29 0.15 0.08
 09.10.12 06:00 0.07 0.12 0.16 0.10
 -------- 07:00 0.11 0.12 0.18 0.14
 -------- 08:00 0.16 0.21 0.19 0.13
 -------- 09:00 0.18 0.12 0.19 0.17
 -------- 10:00 0.20 0.12 0.21 0.23
 09.10.12 11:00 0.17 0.12 0.21 0.20
 -------- 12:00 0.15 0.21 0.19 0.16
 -------- 13:00 0.18 0.12 0.21 0.17
 -------- 14:00 0.12 0.12 0.18 0.09
 -------- 15:00 0.13 0.38 0.19 0.12
 09.10.12 16:00 0.12 0.50 0.19 0.09
 -------- 17:00 0.14 0.29 0.20 0.12
 -------- 18:00 0.11 0.12 0.17 0.06
 -------- 19:00 0.11 0.12 0.18 0.07
 -------- 20:00 0.12 0.12 0.16 0.07
 09.10.12 21:00 0.10 0.12 0.14 0.07
