 Date Time CO H2S NO2 CHX NO
 06.11.12 12:00 0.10 0.25 0.12 1.76 0.05
 -------- 13:00 0.10 0.21 0.11 1.76 0.04
 -------- 14:00 0.12 0.42 0.11 1.99 0.04
 -------- 15:00 0.17 0.42 0.13 6.22 0.09
 -------- 16:00 0.15 0.33 0.13 4.95 0.11
 06.11.12 17:00 0.10 0.17 0.16 1.94 0.09
 -------- 18:00 0.12 0.12 0.19 1.47 0.09
 -------- 19:00 0.13 0.29 0.20 1.44 0.11
 -------- 20:00 0.09 0.46 0.16 1.44 0.09
 -------- 21:00 0.07 0.25 0.12 1.39 0.07
 06.11.12 22:00 0.07 0.25 0.12 1.38 0.05
 -------- 23:00 0.06 0.25 0.12 1.38 0.05
 -------- 00:00 0.06 0.29 0.12 1.38 0.06
 -------- 01:00 0.06 0.21 0.11 1.43 0.05
 -------- 02:00 0.07 0.17 0.11 1.54 0.05
 07.11.12 03:00 0.08 0.12 0.12 1.37 0.05
 -------- 04:00 0.08 ---- 0.11 1.42 0.05
 -------- 05:00 0.07 0.25 0.11 1.44 0.05
 -------- 06:00 0.07 0.42 0.12 1.38 0.07
 -------- 07:00 0.08 0.25 0.14 1.43 0.07
 07.11.12 08:00 0.11 0.25 0.16 1.44 0.09
 -------- 09:00 0.13 0.21 0.16 1.47 0.12
 -------- 10:00 0.15 0.29 0.16 1.54 0.13
 -------- 11:00 0.17 0.19 0.16 1.64 0.14
 -------- 12:00 0.16 ---- 0.14 1.60 0.13
 07.11.12 13:00 0.11 0.25 0.14 1.43 0.07
 -------- 14:00 0.13 0.42 0.17 1.48 0.10
 -------- 15:00 0.15 0.29 0.17 1.55 0.13
 -------- 16:00 0.14 0.12 0.16 1.55 0.12
 -------- 17:00 0.13 0.12 0.16 1.54 0.11
 07.11.12 18:00 0.14 0.12 0.17 1.53 0.11
 -------- 19:00 0.15 0.12 0.16 1.46 0.11
 -------- 20:00 0.19 0.12 0.16 1.48 0.12
 -------- 21:00 0.17 0.12 0.16 1.45 0.10
 -------- 22:00 0.15 0.12 0.15 1.44 0.08
 07.11.12 23:00 0.14 0.25 0.15 2.03 0.08
 -------- 00:00 0.13 0.38 0.14 4.82 0.08
 -------- 01:00 0.11 0.19 0.11 2.02 0.05
 -------- 02:00 0.10 ---- 0.09 1.43 0.04
 -------- 03:00 0.09 0.12 0.10 1.35 0.03
 08.11.12 04:00 0.10 0.12 0.10 1.34 0.03
 -------- 05:00 0.12 0.12 0.12 1.33 0.06
 -------- 06:00 0.11 0.12 0.11 1.35 0.06
 -------- 07:00 0.09 0.44 0.11 1.31 0.04
 -------- 08:00 0.09 0.62 0.14 1.38 0.06
 08.11.12 09:00 0.09 0.38 0.16 1.40 0.06
 -------- 10:00 0.12 0.12 0.18 1.40 0.10
 -------- 11:00 0.09 0.17 0.16 1.39 0.08
