 Date Time CO H2S NO2 CHX NO
 20.01.13 12:00 0.19 ---- 0.24 3.21 0.26
 -------- 13:00 0.20 ---- 0.24 3.09 0.27
 -------- 14:00 0.22 ---- 0.24 2.86 0.28
 -------- 15:00 0.20 ---- 0.24 3.25 0.28
 -------- 16:00 0.20 ---- 0.25 2.87 0.28
 20.01.13 17:00 0.23 ---- 0.24 2.58 0.29
 -------- 18:00 0.20 ---- 0.23 2.58 0.28
 -------- 19:00 0.19 ---- 0.22 2.36 0.25
 -------- 20:00 0.20 ---- 0.21 2.21 0.27
 -------- 21:00 0.19 ---- 0.21 2.26 0.26
 20.01.13 22:00 0.15 ---- 0.19 2.12 0.19
 -------- 23:00 0.14 ---- 0.17 1.95 0.17
 -------- 00:00 0.11 ---- 0.15 1.97 0.10
 -------- 01:00 0.09 ---- 0.14 2.02 0.08
 -------- 02:00 0.11 ---- 0.15 2.11 0.12
 21.01.13 03:00 0.11 ---- 0.14 2.48 0.10
 -------- 04:00 0.10 ---- 0.14 1.87 0.09
 -------- 05:00 0.08 ---- 0.14 1.78 0.07
 -------- 06:00 0.08 ---- 0.14 1.82 0.07
 -------- 07:00 0.12 ---- 0.15 1.87 0.16
 21.01.13 08:00 0.14 ---- 0.16 1.88 0.20
 -------- 09:00 0.17 ---- 0.20 1.94 0.29
 -------- 10:00 0.15 ---- 0.19 1.98 0.28
 -------- 11:00 0.14 ---- 0.18 1.94 0.25
 -------- 12:00 0.13 ---- 0.18 1.96 0.24
 21.01.13 13:00 0.11 ---- 0.15 1.78 0.21
 -------- 14:00 0.11 ---- 0.15 1.77 0.21
 -------- 15:00 0.11 ---- 0.16 1.77 0.18
 -------- 16:00 0.11 ---- 0.16 1.69 0.16
 -------- 17:00 0.10 ---- 0.17 1.98 0.15
 21.01.13 18:00 0.11 ---- 0.18 2.24 0.16
 -------- 19:00 0.09 ---- 0.18 1.79 0.13
 -------- 20:00 0.08 ---- 0.18 1.65 0.09
 -------- 21:00 0.08 ---- 0.19 1.64 0.09
 -------- 22:00 0.08 ---- 0.19 1.65 0.10
 21.01.13 23:00 0.06 ---- 0.18 1.59 0.08
 -------- 00:00 0.06 ---- 0.18 1.58 0.08
 -------- 01:00 0.09 ---- 0.18 1.60 0.06
 -------- 02:00 0.05 ---- 0.16 1.57 0.04
 -------- 03:00 0.02 ---- 0.16 1.57 0.03
 22.01.13 04:00 0.02 ---- 0.17 1.58 0.03
 -------- 05:00 0.02 ---- 0.18 1.53 0.05
 -------- 06:00 0.04 ---- 0.20 1.57 0.10
 -------- 07:00 0.05 ---- 0.20 1.58 0.10
 -------- 08:00 0.09 ---- 0.22 1.61 0.14
 22.01.13 09:00 0.10 ---- 0.23 1.68 0.19
 -------- 10:00 0.13 ---- 0.24 1.72 0.24
 -------- 11:00 0.11 ---- 0.24 1.72 0.26
