 Date Time CO H2S NO2 NO
 22.09.12 12:00 0.12 0.25 0.12 0.08
 -------- 13:00 0.13 0.25 0.14 0.09
 -------- 14:00 0.15 0.29 0.16 0.09
 -------- 15:00 0.13 0.54 0.15 0.07
 -------- 16:00 0.11 0.54 0.17 0.04
 22.09.12 17:00 0.11 0.83 0.18 0.04
 -------- 18:00 0.15 0.67 0.21 0.07
 -------- 19:00 0.19 0.31 0.22 0.11
 -------- 20:00 0.30 0.29 0.23 0.21
 -------- 21:00 0.22 0.67 0.20 0.10
 22.09.12 22:00 0.19 3.08 0.21 0.10
 -------- 23:00 0.12 0.62 0.19 0.10
 -------- 00:00 0.09 0.17 0.11 0.03
 -------- 01:00 0.08 0.29 0.09 0.02
 -------- 02:00 0.07 0.29 0.07 0.01
 23.09.12 03:00 0.07 0.17 0.07 0.01
 -------- 04:00 0.07 0.12 0.07 0.01
 -------- 05:00 0.08 0.17 0.09 0.01
 -------- 06:00 0.07 0.17 0.09 0.01
 -------- 07:00 0.07 0.12 0.09 0.01
 23.09.12 08:00 0.08 ---- 0.08 0.01
 -------- 09:00 0.08 0.29 0.09 0.01
 -------- 10:00 0.09 0.12 0.09 0.02
 -------- 11:00 0.09 0.44 0.09 0.02
 -------- 12:00 0.10 0.54 0.10 0.02
 23.09.12 13:00 0.10 0.31 0.10 0.02
 -------- 14:00 0.12 ---- 0.11 0.04
 -------- 15:00 0.19 0.17 0.15 0.11
 -------- 16:00 0.16 0.29 0.13 0.07
 -------- 17:00 0.21 0.19 0.14 0.13
 23.09.12 18:00 0.23 0.12 0.14 0.17
 -------- 19:00 0.25 0.25 0.14 0.17
 -------- 20:00 0.25 0.25 0.13 0.16
 -------- 21:00 0.21 0.17 0.13 0.13
 -------- 22:00 0.17 0.21 0.17 0.10
 23.09.12 23:00 0.14 0.33 0.17 0.07
 -------- 00:00 0.13 1.04 0.15 0.06
 -------- 01:00 0.12 0.62 0.14 0.06
 -------- 02:00 0.15 0.25 0.13 0.05
 -------- 03:00 0.11 0.62 0.12 0.06
 24.09.12 04:00 0.09 1.08 0.11 0.03
 -------- 05:00 0.08 0.71 0.10 0.03
 -------- 06:00 0.08 0.50 0.11 0.04
 -------- 07:00 0.10 0.58 0.13 0.05
 -------- 08:00 0.16 0.62 0.16 0.14
 24.09.12 09:00 0.16 0.33 0.14 0.13
 -------- 10:00 0.22 0.25 0.15 0.14
