 Date Time CO H2S NO2 NO
 04.10.12 12:00 0.34 0.62 0.09 0.04
 -------- 13:00 0.26 0.50 0.12 0.06
 -------- 14:00 0.17 0.25 0.19 0.12
 -------- 15:00 0.17 0.25 0.23 0.14
 -------- 16:00 0.15 0.38 0.23 0.11
 04.10.12 17:00 0.17 0.25 0.23 0.14
 -------- 18:00 0.20 ---- 0.24 0.18
 -------- 19:00 0.17 0.12 0.21 0.14
 -------- 20:00 0.17 0.12 0.19 0.11
 -------- 21:00 0.17 0.38 0.18 0.11
 04.10.12 22:00 0.25 0.54 0.18 0.15
 -------- 23:00 0.11 0.42 0.14 0.07
 -------- 00:00 0.06 0.21 0.11 0.04
 -------- 01:00 0.04 0.12 0.10 0.03
 -------- 02:00 0.04 0.81 0.13 0.03
 05.10.12 03:00 0.04 0.42 0.15 0.05
 -------- 04:00 0.09 0.46 0.18 0.08
 -------- 05:00 0.11 0.42 0.18 0.15
 -------- 06:00 0.12 0.50 0.18 0.14
 -------- 07:00 0.13 0.33 0.19 0.18
 05.10.12 08:00 0.17 0.38 0.19 0.23
 -------- 09:00 0.13 0.25 0.17 0.13
 -------- 10:00 0.11 0.12 0.16 0.11
 -------- 11:00 0.11 0.19 0.18 0.13
 -------- 12:00 0.08 0.17 0.13 0.08
 05.10.12 13:00 0.07 0.12 0.12 0.05
 -------- 14:00 0.07 0.21 0.12 0.04
 -------- 15:00 0.07 0.50 0.12 0.04
 -------- 16:00 0.08 0.67 0.18 0.05
 -------- 17:00 0.13 0.44 0.21 0.07
 05.10.12 18:00 0.15 ---- 0.22 0.09
 -------- 19:00 0.16 0.12 0.21 0.10
 -------- 20:00 0.15 0.12 0.19 0.07
 -------- 21:00 0.14 0.42 0.18 0.07
 -------- 22:00 0.16 0.62 0.19 0.09
 05.10.12 23:00 0.19 0.38 0.19 0.12
 -------- 00:00 0.18 0.12 0.18 0.14
 -------- 01:00 0.14 0.12 0.16 0.09
 -------- 02:00 0.07 0.17 0.14 0.06
 -------- 03:00 0.07 0.12 0.16 0.06
 06.10.12 04:00 0.05 ---- 0.13 0.04
 -------- 05:00 0.04 0.12 0.11 0.04
 -------- 06:00 0.04 0.33 0.12 0.04
 -------- 07:00 0.09 0.29 0.16 0.10
 -------- 08:00 0.11 0.12 0.15 0.11
 06.10.12 09:00 0.13 0.38 0.15 0.12
 -------- 10:00 0.15 0.38 0.15 0.13
 -------- 11:00 0.15 0.29 0.15 0.11
