 Date Time CO H2S NO2 NO
 02.10.12 12:00 0.12 ---- 0.18 0.15
 -------- 13:00 0.11 0.12 0.18 0.12
 -------- 14:00 0.09 0.21 0.17 0.09
 -------- 15:00 0.10 0.12 0.17 0.08
 -------- 16:00 0.11 0.12 0.20 0.11
 02.10.12 17:00 0.15 0.17 0.23 0.13
 -------- 18:00 0.22 0.17 0.23 0.17
 -------- 19:00 0.21 0.38 0.23 0.22
 -------- 20:00 0.26 0.54 0.24 0.28
 -------- 21:00 0.25 0.42 0.23 0.25
 02.10.12 22:00 0.15 0.25 0.21 0.15
 -------- 23:00 0.13 0.21 0.20 0.12
 -------- 00:00 0.09 0.33 0.19 0.09
 -------- 01:00 0.07 0.19 0.18 0.06
 -------- 02:00 0.07 ---- 0.17 0.06
 03.10.12 03:00 0.05 0.12 0.14 0.03
 -------- 04:00 0.04 0.21 0.13 0.02
 -------- 05:00 0.04 0.25 0.12 0.02
 -------- 06:00 0.05 0.12 0.12 0.03
 -------- 07:00 0.06 0.12 0.12 0.03
 03.10.12 08:00 0.08 0.12 0.13 0.04
 -------- 09:00 0.11 0.42 0.14 0.08
 -------- 10:00 0.11 0.54 0.15 0.08
 -------- 11:00 0.16 0.44 0.16 0.16
 -------- 12:00 0.15 ---- 0.16 0.17
 03.10.12 13:00 0.16 0.12 0.16 0.18
 -------- 14:00 0.17 0.25 0.17 0.22
 -------- 15:00 0.13 0.17 0.16 0.16
 -------- 16:00 0.09 0.17 0.17 0.19
 -------- 17:00 0.07 0.38 0.18 0.24
 03.10.12 18:00 0.08 0.42 0.18 0.26
 -------- 19:00 0.19 0.31 0.17 0.26
 -------- 20:00 0.43 ---- 0.17 0.26
 -------- 21:00 0.49 0.25 0.17 0.30
 -------- 22:00 0.50 0.25 0.17 0.31
 03.10.12 23:00 0.47 0.21 0.16 0.28
 -------- 00:00 0.46 0.25 0.15 0.25
 -------- 01:00 0.47 0.54 0.15 0.29
 -------- 02:00 0.48 0.62 0.13 0.28
 -------- 03:00 0.43 0.46 0.13 0.24
 04.10.12 04:00 0.38 0.46 0.12 0.21
 -------- 05:00 0.35 0.25 0.10 0.11
 -------- 06:00 0.37 0.12 0.10 0.14
 -------- 07:00 0.30 0.12 0.09 0.10
 -------- 08:00 0.27 0.29 0.10 0.17
 04.10.12 09:00 0.25 0.25 0.12 0.19
 -------- 10:00 0.23 0.25 0.10 0.12
 -------- 11:00 0.25 0.50 0.09 0.07
 -------- 12:00 0.34 0.62 0.09 0.05
