 Date Time CO H2S NO2 CHX NO
 24.01.13 12:00 0.16 ---- 0.22 2.18 0.31
 -------- 13:00 0.16 ---- 0.23 2.01 0.27
 -------- 14:00 0.15 ---- 0.23 2.00 0.27
 -------- 15:00 0.13 ---- 0.22 6.82 0.23
 -------- 16:00 0.14 ---- 0.23 6.41 0.28
 24.01.13 17:00 0.09 ---- 0.20 2.08 0.15
 -------- 18:00 0.07 ---- 0.19 1.76 0.10
 -------- 19:00 0.06 ---- 0.18 1.65 0.07
 -------- 20:00 0.08 ---- 0.19 1.59 0.07
 -------- 21:00 0.07 ---- 0.19 1.60 0.09
 24.01.13 22:00 0.06 ---- 0.17 1.56 0.06
 -------- 23:00 0.05 ---- 0.16 1.54 0.05
 -------- 00:00 0.04 ---- 0.15 1.51 0.04
 -------- 01:00 0.05 ---- 0.16 1.51 0.04
 -------- 02:00 0.05 ---- 0.19 1.61 0.05
 25.01.13 03:00 0.05 ---- 0.18 1.64 0.04
 -------- 04:00 0.05 ---- 0.18 1.61 0.06
 -------- 05:00 0.04 ---- 0.17 1.55 0.04
 -------- 06:00 0.05 ---- 0.17 1.54 0.06
 -------- 07:00 0.07 ---- 0.19 1.57 0.08
 25.01.13 08:00 0.07 ---- 0.19 1.60 0.11
 -------- 09:00 0.08 ---- 0.18 1.63 0.10
 -------- 10:00 0.09 ---- 0.19 1.61 0.10
 -------- 11:00 0.10 ---- 0.18 1.63 0.12
 -------- 12:00 0.08 ---- 0.19 1.60 0.10
 25.01.13 13:00 0.11 ---- 0.20 1.67 0.13
 -------- 14:00 0.10 ---- 0.22 1.69 0.17
 -------- 15:00 0.09 ---- 0.22 1.66 0.16
 -------- 16:00 0.09 ---- 0.21 1.66 0.15
 -------- 17:00 0.09 ---- 0.21 1.66 0.12
 25.01.13 18:00 0.11 ---- 0.21 1.68 0.10
 -------- 19:00 0.09 ---- 0.21 1.70 0.11
 -------- 20:00 0.09 ---- 0.21 1.67 0.10
 -------- 21:00 0.09 ---- 0.20 1.69 0.09
 -------- 22:00 0.08 ---- 0.18 1.60 0.06
 25.01.13 23:00 0.08 ---- 0.19 1.60 0.10
 -------- 00:00 0.08 ---- 0.19 1.58 0.10
 -------- 01:00 0.11 ---- 0.19 1.62 0.10
 -------- 02:00 0.09 ---- 0.18 1.59 0.07
 -------- 03:00 0.07 ---- 0.18 1.59 0.07
 26.01.13 04:00 0.06 ---- 0.18 1.58 0.06
 -------- 05:00 0.05 ---- 0.18 1.57 0.06
 -------- 06:00 0.05 ---- 0.16 1.57 0.07
 -------- 07:00 0.05 ---- 0.17 1.57 0.06
 -------- 08:00 0.07 ---- 0.19 1.67 0.08
 26.01.13 09:00 0.11 ---- 0.20 1.90 0.15
 -------- 10:00 0.19 ---- 0.21 2.10 0.22
 -------- 11:00 0.15 ---- 0.22 1.81 0.26
