 Date Time CO H2S NO2 CHX NO
 11.11.12 12:00 0.18 0.38 0.17 1.82 0.19
 -------- 13:00 0.17 0.33 0.16 1.72 0.15
 -------- 14:00 0.16 0.33 0.16 1.88 0.13
 -------- 15:00 0.15 0.25 0.17 3.00 0.14
 -------- 16:00 0.15 0.12 0.17 5.75 0.13
 11.11.12 17:00 0.14 0.19 0.15 2.41 0.09
 -------- 18:00 0.14 0.29 0.14 1.94 0.08
 -------- 19:00 0.11 0.25 0.14 1.76 0.05
 -------- 20:00 0.11 0.12 0.14 1.69 0.05
 -------- 21:00 0.12 0.19 0.14 1.72 0.07
 11.11.12 22:00 0.13 0.25 0.13 1.74 0.08
 -------- 23:00 0.12 0.25 0.13 1.65 0.07
 -------- 00:00 0.11 0.38 0.12 1.60 0.06
 -------- 01:00 0.09 0.25 0.11 1.53 0.05
 -------- 02:00 0.06 ---- 0.11 1.49 0.03
 12.11.12 03:00 0.06 0.19 0.11 2.07 0.04
 -------- 04:00 0.05 0.25 0.11 6.28 0.04
 -------- 05:00 0.07 0.19 0.12 2.86 0.06
 -------- 06:00 0.10 ---- 0.12 1.75 0.07
 -------- 07:00 0.10 0.17 0.13 1.61 0.08
 12.11.12 08:00 0.11 0.25 0.13 1.62 0.09
 -------- 09:00 0.13 0.19 0.14 1.75 0.13
 -------- 10:00 0.14 0.12 0.15 1.79 0.14
 -------- 11:00 0.14 0.21 0.15 1.84 0.15
 -------- 12:00 0.15 0.25 0.14 1.82 0.16
 12.11.12 13:00 0.17 0.21 0.14 1.60 0.15
 -------- 14:00 0.15 0.12 0.14 1.63 0.14
 -------- 15:00 0.14 0.19 0.13 1.57 0.14
 -------- 16:00 0.18 ---- 0.13 1.65 0.15
 -------- 17:00 0.16 0.19 0.13 1.64 0.13
 12.11.12 18:00 0.17 0.33 0.13 1.67 0.15
 -------- 19:00 0.17 0.21 0.13 1.69 0.15
 -------- 20:00 0.19 0.12 0.12 1.82 0.14
 -------- 21:00 0.15 0.17 0.13 1.72 0.15
 -------- 22:00 0.11 0.25 0.12 1.55 0.12
 12.11.12 23:00 0.08 0.29 0.11 1.45 0.08
 -------- 00:00 0.08 0.33 0.11 1.47 0.07
 -------- 01:00 0.07 0.44 0.12 1.44 0.06
 -------- 02:00 0.07 0.25 0.14 1.44 0.08
 -------- 03:00 0.05 0.25 0.11 1.38 0.04
 13.11.12 04:00 0.04 0.29 0.12 1.43 0.04
 -------- 05:00 0.04 0.19 0.11 1.42 0.04
 -------- 06:00 0.07 0.38 0.14 1.42 0.07
 -------- 07:00 0.06 0.50 0.13 1.40 0.05
 -------- 08:00 0.09 0.79 0.15 1.40 0.08
 13.11.12 09:00 0.09 0.46 0.17 1.44 0.09
 -------- 10:00 0.08 0.21 0.18 1.50 0.10
 -------- 11:00 0.08 0.21 0.16 1.49 0.08
