 Date Time CO H2S NO2 CHX NO
 26.01.13 12:00 0.16 ---- 0.22 1.81 0.23
 -------- 13:00 0.14 ---- 0.23 1.81 0.21
 -------- 14:00 0.12 ---- 0.21 1.83 0.17
 -------- 15:00 0.14 ---- 0.23 1.96 0.19
 -------- 16:00 0.13 ---- 0.20 2.52 0.15
 26.01.13 17:00 0.12 ---- 0.21 1.84 0.15
 -------- 18:00 0.13 ---- 0.22 1.84 0.18
 -------- 19:00 0.13 ---- 0.22 1.85 0.16
 -------- 20:00 0.15 ---- 0.22 1.80 0.15
 -------- 21:00 0.18 ---- 0.23 1.80 0.19
 26.01.13 22:00 0.16 ---- 0.20 1.85 0.16
 -------- 23:00 0.15 ---- 0.19 1.79 0.14
 -------- 00:00 0.17 ---- 0.20 1.82 0.15
 -------- 01:00 0.15 ---- 0.20 1.77 0.15
 -------- 02:00 0.13 ---- 0.19 1.65 0.10
 27.01.13 03:00 0.12 ---- 0.19 1.66 0.11
 -------- 04:00 0.11 ---- 0.20 9.62 0.10
 -------- 05:00 0.11 ---- 0.21 3.50 0.10
 -------- 06:00 0.13 ---- 0.23 2.22 0.13
 -------- 07:00 0.09 ---- 0.21 2.00 0.09
 27.01.13 08:00 0.11 ---- 0.22 2.04 0.12
 -------- 09:00 0.12 ---- 0.22 1.96 0.15
 -------- 10:00 0.16 ---- 0.23 2.17 0.21
 -------- 11:00 0.15 ---- 0.23 2.22 0.20
 -------- 12:00 0.15 ---- 0.23 2.08 0.19
 27.01.13 13:00 0.16 ---- 0.23 2.20 0.20
 -------- 14:00 0.15 ---- 0.22 9.07 0.17
 -------- 15:00 0.14 ---- 0.22 3.20 0.17
 -------- 16:00 0.17 ---- 0.21 2.27 0.14
 -------- 17:00 0.18 ---- 0.22 2.17 0.16
 27.01.13 18:00 0.25 ---- 0.24 2.70 0.26
 -------- 19:00 0.40 ---- 0.28 3.22 0.50
 -------- 20:00 0.53 ---- 0.29 3.66 0.59
 -------- 21:00 0.27 ---- 0.24 2.94 0.30
 -------- 22:00 0.15 ---- 0.21 2.24 0.13
 27.01.13 23:00 0.14 ---- 0.21 2.04 0.10
 -------- 00:00 0.10 ---- 0.20 1.83 0.07
 -------- 01:00 0.12 ---- 0.22 1.97 0.14
 -------- 02:00 0.10 ---- 0.21 1.99 0.13
 -------- 03:00 0.07 ---- 0.18 1.80 0.05
 28.01.13 04:00 0.06 ---- 0.16 1.72 0.01
 -------- 05:00 0.05 ---- 0.15 1.69 0.01
 -------- 06:00 0.06 ---- 0.18 1.75 0.03
 -------- 07:00 0.09 ---- 0.20 2.00 0.07
 -------- 08:00 0.11 ---- 0.18 2.06 0.05
 28.01.13 09:00 0.13 ---- 0.20 2.13 0.09
 -------- 10:00 0.12 ---- 0.21 2.13 0.12
 -------- 11:00 0.09 ---- 0.17 2.03 0.05
