 Date Time CO H2S NO2 CHX NO
 13.02.13 00:00 0.09 ---- 0.19 1.81 0.11
 -------- 01:00 0.15 ---- 0.16 1.82 0.08
 -------- 02:00 0.05 ---- 0.14 1.73 0.04
 -------- 03:00 0.03 ---- 0.14 1.74 0.03
 -------- 04:00 0.02 ---- 0.14 1.79 0.03
 13.02.13 05:00 0.02 ---- 0.11 1.68 0.02
 -------- 06:00 0.04 ---- 0.14 1.93 0.03
 -------- 07:00 0.07 ---- 0.13 1.84 0.02
 -------- 08:00 0.09 ---- 0.18 2.01 0.04
 -------- 09:00 0.09 ---- 0.17 2.18 0.06
 13.02.13 10:00 0.11 ---- 0.17 2.32 0.07
 -------- 11:00 0.09 ---- 0.18 2.11 0.06
 -------- 12:00 0.08 ---- 0.18 2.15 0.07
 -------- 13:00 0.08 ---- 0.19 2.10 0.07
 -------- 14:00 0.09 ---- 0.20 2.41 0.07
 13.02.13 15:00 0.08 ---- 0.20 10.36 0.05
 -------- 16:00 0.09 ---- 0.20 3.93 0.05
 -------- 17:00 0.11 ---- 0.21 2.46 0.06
 -------- 18:00 0.15 ---- 0.23 2.63 0.09
 -------- 19:00 0.19 ---- 0.25 2.80 0.15
 13.02.13 20:00 0.19 ---- 0.25 2.14 0.14
 -------- 21:00 0.17 ---- 0.25 1.86 0.16
 -------- 22:00 0.15 ---- 0.24 1.77 0.14
 -------- 23:00 0.13 ---- 0.22 1.90 0.10
 -------- 00:00 0.13 ---- 0.21 1.88 0.10
 14.02.13 01:00 0.12 ---- 0.20 1.90 0.09
 -------- 02:00 0.09 ---- 0.19 1.93 0.06
 -------- 03:00 0.08 ---- 0.18 1.80 0.04
 -------- 04:00 0.08 ---- 0.19 1.77 0.06
 -------- 05:00 0.09 ---- 0.19 1.68 0.05
 14.02.13 06:00 0.11 ---- 0.20 1.70 0.10
 -------- 07:00 0.10 ---- 0.19 1.68 0.12
 -------- 08:00 0.09 ---- 0.18 1.67 0.07
 -------- 09:00 0.09 ---- 0.18 1.66 0.07
 -------- 10:00 0.12 ---- 0.19 1.71 0.13
 14.02.13 11:00 0.13 ---- 0.21 1.80 0.15
 -------- 12:00 0.11 ---- 0.19 1.77 0.11
 -------- 13:00 0.08 ---- 0.18 1.61 0.08
 -------- 14:00 0.07 ---- 0.19 1.60 0.07
 -------- 15:00 0.09 ---- 0.23 1.78 0.11
 14.02.13 16:00 0.09 ---- 0.23 2.36 0.10
 -------- 17:00 0.08 ---- 0.21 2.12 0.06
 -------- 18:00 0.16 ---- 0.24 1.92 0.12
 -------- 19:00 0.14 ---- 0.24 1.90 0.13
 -------- 20:00 0.16 ---- 0.25 1.86 0.16
 14.02.13 21:00 0.11 ---- 0.22 1.87 0.07
 -------- 22:00 0.13 ---- 0.23 2.02 0.07
 -------- 23:00 0.09 ---- 0.20 2.04 0.04
 -------- 00:00 0.08 ---- 0.20 2.15 0.03
