 Date Time CO H2S NO2 NO
 19.10.12 12:00 0.19 0.46 0.16 0.27
 -------- 13:00 0.22 0.29 0.17 0.27
 -------- 14:00 0.21 0.25 0.17 0.26
 -------- 15:00 0.21 0.21 0.17 0.23
 -------- 16:00 0.19 0.25 0.17 0.20
 19.10.12 17:00 0.18 0.17 0.17 0.18
 -------- 18:00 0.20 0.17 0.18 0.19
 -------- 19:00 0.19 0.12 0.19 0.15
 -------- 20:00 0.17 0.12 0.18 0.15
 -------- 21:00 0.18 0.17 0.17 0.17
 19.10.12 22:00 0.15 0.25 0.16 0.12
 -------- 23:00 0.11 0.12 0.15 0.09
 -------- 00:00 0.09 0.12 0.13 0.08
 -------- 01:00 0.11 0.12 0.14 0.10
 -------- 02:00 0.07 0.12 0.12 0.05
 20.10.12 03:00 0.05 0.12 0.11 0.05
 -------- 04:00 0.05 0.12 0.10 0.04
 -------- 05:00 0.06 0.12 0.11 0.05
 -------- 06:00 0.06 0.12 0.13 0.06
