 Date Time CO SO2 H2S NO2 CHX NO
 07.04.13 00:00 0.09 0.01 0.19 0.20 1.60 0.11
 -------- 01:00 0.05 0.01 0.12 0.17 1.52 0.07
 -------- 02:00 0.05 0.01 0.12 0.17 1.50 0.06
 -------- 03:00 0.03 0.00 0.12 0.14 1.49 0.05
 -------- 04:00 0.04 0.01 0.12 0.15 1.49 0.04
 07.04.13 05:00 0.03 0.00 0.12 0.14 1.46 0.03
 -------- 06:00 0.03 0.00 0.12 0.17 1.46 0.05
 -------- 07:00 0.02 0.00 0.12 0.18 1.46 0.05
 -------- 08:00 0.03 0.00 0.12 0.17 1.47 0.06
 -------- 09:00 0.03 0.00 0.12 0.16 1.46 0.05
 07.04.13 10:00 0.03 0.00 0.12 0.17 1.47 0.05
 -------- 11:00 0.03 0.00 ---- 0.17 1.46 0.05
 -------- 12:00 0.04 0.00 ---- 0.19 1.46 0.06
 -------- 13:00 0.05 0.00 ---- 0.22 1.49 0.07
 -------- 14:00 0.06 0.00 ---- 0.23 1.48 0.08
 07.04.13 15:00 0.05 0.00 ---- 0.20 1.52 0.06
 -------- 16:00 0.05 0.00 ---- 0.20 1.53 0.05
 -------- 17:00 0.07 0.00 ---- 0.24 1.50 0.07
 -------- 18:00 0.06 0.00 ---- 0.25 1.50 0.07
 -------- 19:00 0.11 0.00 0.12 0.27 1.51 0.09
 07.04.13 20:00 0.13 0.00 0.12 0.27 1.52 0.08
 -------- 21:00 0.11 0.00 ---- 0.25 1.53 0.08
 -------- 22:00 0.13 0.00 ---- 0.29 1.53 0.09
 -------- 23:00 0.14 0.00 0.12 0.29 1.55 0.11
 -------- 00:00 0.09 0.00 ---- 0.25 1.53 0.06
 08.04.13 01:00 0.09 0.01 0.12 0.25 1.54 0.07
 -------- 02:00 0.09 0.01 0.12 0.24 1.56 0.05
 -------- 03:00 0.11 0.01 0.12 0.27 1.61 0.10
 -------- 04:00 0.15 0.01 0.21 0.32 1.67 0.26
 -------- 05:00 0.25 0.01 0.25 0.35 2.56 0.49
 08.04.13 06:00 0.27 0.01 0.29 0.34 2.23 0.43
 -------- 07:00 0.30 0.01 0.38 0.35 2.01 0.41
 -------- 08:00 0.20 0.00 0.25 0.33 1.92 0.33
 -------- 09:00 0.21 0.01 0.25 0.35 1.94 0.29
 -------- 10:00 0.15 0.00 0.17 0.30 1.69 0.18
 08.04.13 11:00 0.13 0.00 0.12 0.30 1.65 0.15
 -------- 12:00 0.10 0.00 0.12 0.30 1.76 0.13
 -------- 13:00 0.10 0.00 0.12 0.29 1.67 0.10
 -------- 14:00 0.10 0.01 0.12 0.29 1.64 0.10
 -------- 15:00 0.10 0.01 0.12 0.30 1.86 0.10
 08.04.13 16:00 0.10 0.01 0.12 0.27 2.43 0.09
 -------- 17:00 0.08 0.01 0.12 0.28 1.62 0.07
 -------- 18:00 0.09 0.01 0.12 0.25 1.80 0.05
 -------- 19:00 0.10 0.00 0.12 0.27 2.05 0.05
 -------- 20:00 0.11 0.00 0.12 0.25 2.03 0.03
 08.04.13 21:00 0.25 0.00 0.21 0.39 2.09 0.19
 -------- 22:00 0.44 0.01 0.29 0.42 2.93 0.32
 -------- 23:00 0.55 0.01 0.46 0.44 3.61 0.53
