 Date Time CO H2S NO2 CHX NO
 07.03.13 00:00 0.10 0.19 0.23 6.47 0.03
 -------- 01:00 0.13 0.25 0.22 2.26 0.03
 -------- 02:00 0.10 0.25 0.18 1.65 0.02
 -------- 03:00 0.11 0.25 0.18 1.56 0.01
 -------- 04:00 0.13 0.25 0.19 1.56 0.01
 07.03.13 05:00 0.11 0.29 0.21 1.56 0.02
 -------- 06:00 0.08 0.38 0.20 1.63 0.02
 -------- 07:00 0.07 0.46 0.20 1.59 0.02
 -------- 08:00 0.08 0.38 0.21 1.56 0.02
 -------- 09:00 0.08 0.12 0.20 1.53 0.02
 07.03.13 10:00 0.07 0.12 0.20 1.52 0.03
 -------- 11:00 0.06 0.12 0.18 1.50 0.03
 -------- 12:00 0.06 0.12 0.16 1.49 0.04
 -------- 13:00 0.06 0.12 0.17 1.50 0.04
 -------- 14:00 0.06 0.12 0.17 1.50 0.05
 07.03.13 15:00 0.06 0.12 0.17 1.49 0.05
 -------- 16:00 0.06 0.12 0.17 1.48 0.04
 -------- 17:00 0.06 0.12 0.17 1.49 0.04
 -------- 18:00 0.08 0.12 0.20 1.50 0.05
 -------- 19:00 0.09 0.12 0.22 1.53 0.07
 07.03.13 20:00 0.06 0.12 0.20 1.52 0.07
 -------- 21:00 0.08 0.12 0.22 1.52 0.08
 -------- 22:00 0.09 0.12 0.24 1.54 0.10
 -------- 23:00 0.09 ---- 0.25 1.55 0.13
 -------- 00:00 0.07 0.12 0.24 1.53 0.12
 08.03.13 01:00 0.06 0.12 0.21 1.52 0.08
 -------- 02:00 0.04 ---- 0.20 1.50 0.06
 -------- 03:00 0.05 ---- 0.18 1.54 0.04
 -------- 04:00 0.03 ---- 0.16 1.54 0.03
 -------- 05:00 0.02 ---- 0.17 1.52 0.03
 08.03.13 06:00 0.02 ---- 0.17 1.48 0.03
 -------- 07:00 0.04 ---- 0.15 1.47 0.02
 -------- 08:00 0.06 ---- 0.14 1.47 0.02
 -------- 09:00 0.05 ---- 0.14 1.47 0.02
 -------- 10:00 0.07 ---- 0.14 1.48 0.03
 08.03.13 11:00 0.06 0.12 0.15 1.48 0.03
 -------- 12:00 0.07 0.17 0.15 1.50 0.04
 -------- 13:00 0.07 0.21 0.16 1.50 0.04
 -------- 14:00 0.07 0.21 0.15 1.49 0.04
 -------- 15:00 0.08 0.25 0.16 1.50 0.04
 08.03.13 16:00 0.08 0.25 0.18 1.50 0.06
 -------- 17:00 0.09 0.38 0.18 1.51 0.05
 -------- 18:00 0.10 0.38 0.22 1.53 0.08
 -------- 19:00 0.11 0.38 0.24 1.53 0.09
 -------- 20:00 0.13 0.25 0.24 1.57 0.11
 08.03.13 21:00 0.15 0.25 0.24 1.67 0.10
 -------- 22:00 0.13 0.25 0.24 1.65 0.10
 -------- 23:00 0.10 0.46 0.23 1.64 0.06
