 Date Time CO H2S NO2 NO
 24.09.12 12:00 0.18 0.12 0.15 0.12
 -------- 13:00 0.19 0.12 0.15 0.11
 -------- 14:00 0.15 0.12 0.14 0.09
 -------- 15:00 0.13 0.12 0.15 0.09
 -------- 16:00 0.12 0.25 0.14 0.08
 24.09.12 17:00 0.13 0.12 0.14 0.10
 -------- 18:00 0.13 0.12 0.14 0.09
 -------- 19:00 0.13 0.50 0.14 0.10
 -------- 20:00 0.15 0.71 0.13 0.10
 -------- 21:00 0.14 0.38 0.13 0.09
 24.09.12 22:00 0.19 0.12 0.14 0.11
 -------- 23:00 0.13 0.12 0.13 0.09
 -------- 00:00 0.09 0.42 0.11 0.06
 -------- 01:00 0.08 0.58 0.10 0.04
 -------- 02:00 0.07 ---- 0.08 0.03
 25.09.12 03:00 0.06 0.12 0.07 0.02
 -------- 04:00 0.09 0.12 0.07 0.03
 -------- 05:00 0.07 0.12 0.07 0.03
 -------- 06:00 0.09 0.12 0.09 0.04
 -------- 07:00 0.07 0.12 0.10 0.04
 25.09.12 08:00 0.07 0.12 0.11 0.05
 -------- 09:00 0.07 0.12 0.12 0.06
 -------- 10:00 0.06 0.12 0.11 0.05
 -------- 11:00 0.06 ---- 0.11 0.05
 -------- 12:00 0.07 0.12 0.12 0.06
 25.09.12 13:00 0.06 0.12 0.12 0.06
 -------- 14:00 0.06 0.12 0.12 0.05
 -------- 15:00 0.08 0.12 0.15 0.07
 -------- 16:00 0.07 0.17 0.14 0.06
 -------- 17:00 0.07 0.12 0.14 0.05
 25.09.12 18:00 0.09 0.17 0.14 0.07
 -------- 19:00 0.09 0.12 0.13 0.06
 -------- 20:00 0.08 0.12 0.13 0.06
 -------- 21:00 0.09 0.12 0.13 0.06
 -------- 22:00 0.09 0.12 0.13 0.08
 25.09.12 23:00 0.08 0.12 0.13 0.08
 -------- 00:00 0.09 0.12 0.12 0.08
 -------- 01:00 0.05 0.17 0.10 0.04
 -------- 02:00 0.05 0.25 0.10 0.05
 -------- 03:00 0.04 0.17 0.10 0.05
 26.09.12 04:00 0.04 0.12 0.09 0.03
 -------- 05:00 0.06 0.12 0.10 0.07
 -------- 06:00 0.06 0.12 0.12 0.09
 -------- 07:00 0.09 0.12 0.13 0.13
 -------- 08:00 0.09 0.12 0.13 0.16
 26.09.12 09:00 0.10 0.12 0.14 0.18
 -------- 10:00 0.09 0.21 0.13 0.15
 -------- 11:00 0.09 0.17 0.14 0.16
