 Date Time CO H2S NO2 CHX NO
 05.02.13 00:00 0.07 ---- 0.11 1.52 0.02
 -------- 01:00 0.09 ---- 0.11 1.50 0.02
 -------- 02:00 0.06 ---- 0.09 1.47 0.02
 -------- 03:00 0.06 ---- 0.09 1.46 0.02
 -------- 04:00 0.06 ---- 0.10 1.46 0.02
 05.02.13 05:00 0.06 ---- 0.13 1.46 0.03
 -------- 06:00 0.07 ---- 0.14 1.51 0.03
 -------- 07:00 0.07 ---- 0.15 1.54 0.03
 -------- 08:00 0.08 ---- 0.16 1.51 0.04
 -------- 09:00 0.09 ---- 0.21 1.57 0.09
 05.02.13 10:00 0.11 ---- 0.23 1.59 0.15
 -------- 11:00 0.10 ---- 0.23 1.58 0.14
 -------- 12:00 0.13 ---- 0.23 1.70 0.15
 -------- 13:00 0.17 ---- 0.23 1.75 0.21
 -------- 14:00 0.15 ---- 0.21 1.76 0.18
 05.02.13 15:00 0.14 ---- 0.19 1.84 0.13
 -------- 16:00 0.16 ---- 0.21 2.10 0.14
 -------- 17:00 0.15 ---- 0.19 2.17 0.09
 -------- 18:00 0.13 ---- 0.20 5.57 0.05
 -------- 19:00 0.12 ---- 0.20 4.87 0.08
 05.02.13 20:00 0.12 ---- 0.19 2.38 0.07
 -------- 21:00 0.11 ---- 0.19 2.06 0.09
 -------- 22:00 0.10 ---- 0.20 1.89 0.10
 -------- 23:00 0.10 ---- 0.19 1.74 0.09
 -------- 00:00 0.09 ---- 0.18 1.66 0.08
 06.02.13 01:00 0.07 ---- 0.17 1.59 0.06
 -------- 02:00 0.07 ---- 0.16 1.55 0.06
 -------- 03:00 0.04 ---- 0.15 1.51 0.04
 -------- 04:00 0.05 ---- 0.16 1.53 0.05
 -------- 05:00 0.06 ---- 0.15 1.55 0.05
 06.02.13 06:00 0.08 ---- 0.18 1.65 0.07
 -------- 07:00 0.09 ---- 0.19 1.65 0.09
 -------- 08:00 0.13 ---- 0.20 1.84 0.11
 -------- 09:00 0.12 ---- 0.19 1.88 0.10
 -------- 10:00 0.10 ---- 0.19 1.82 0.09
 06.02.13 11:00 0.12 ---- 0.19 1.90 0.10
 -------- 12:00 0.11 ---- 0.20 1.80 0.11
 -------- 13:00 0.11 ---- 0.20 1.85 0.10
 -------- 14:00 0.10 ---- 0.20 3.20 0.10
 -------- 15:00 0.08 ---- 0.17 5.98 0.04
 06.02.13 16:00 0.06 ---- 0.17 2.34 0.04
 -------- 17:00 0.11 ---- 0.21 2.11 0.08
 -------- 18:00 0.17 ---- 0.22 2.36 0.13
 -------- 19:00 0.13 ---- 0.19 2.16 0.10
 -------- 20:00 0.13 ---- 0.19 2.07 0.09
 06.02.13 21:00 0.11 ---- 0.18 1.96 0.08
 -------- 22:00 0.14 ---- 0.18 1.88 0.10
 -------- 23:00 0.14 ---- 0.18 1.91 0.09
