 Date Time CO H2S NO2 CHX NO
 28.12.12 00:00 0.13 ---- 0.15 1.71 0.14
 -------- 01:00 0.09 ---- 0.15 1.66 0.11
 -------- 02:00 0.09 ---- 0.13 1.60 0.07
 -------- 03:00 0.07 ---- 0.12 1.59 0.05
 -------- 04:00 0.06 ---- 0.13 1.60 0.05
 28.12.12 05:00 0.08 ---- 0.12 1.60 0.06
 -------- 06:00 0.09 ---- 0.13 1.68 0.07
 -------- 07:00 0.09 ---- 0.14 2.10 0.07
 -------- 08:00 0.10 ---- 0.15 2.10 0.07
 -------- 09:00 0.12 ---- 0.15 2.15 0.08
 28.12.12 10:00 0.12 ---- 0.15 2.05 0.08
 -------- 11:00 0.14 ---- 0.15 2.05 0.12
 -------- 12:00 0.14 ---- 0.16 1.93 0.13
 -------- 13:00 0.13 0.25 0.16 1.82 0.14
 -------- 14:00 0.13 ---- 0.17 1.74 0.15
 28.12.12 15:00 0.12 ---- 0.16 1.90 0.12
 -------- 16:00 0.12 ---- 0.17 4.42 0.12
 -------- 17:00 0.13 ---- 0.17 2.99 0.12
 -------- 18:00 0.11 ---- 0.16 1.88 0.11
 -------- 19:00 0.11 ---- 0.15 1.76 0.10
 28.12.12 20:00 0.13 ---- 0.15 1.79 0.10
 -------- 21:00 0.15 ---- 0.16 1.86 0.11
 -------- 22:00 0.11 ---- 0.14 1.64 0.07
 -------- 23:00 0.07 ---- 0.14 1.57 0.05
 -------- 00:00 0.07 0.12 0.16 1.54 0.07
 29.12.12 01:00 0.06 0.25 0.15 1.52 0.06
 -------- 02:00 0.06 0.12 0.12 1.47 0.03
 -------- 03:00 0.04 0.25 0.11 1.49 0.02
 -------- 04:00 0.06 0.17 0.14 1.49 0.03
 -------- 05:00 0.04 0.12 0.15 1.47 0.04
 29.12.12 06:00 0.05 0.12 0.15 1.48 0.05
 -------- 07:00 0.05 0.12 0.15 1.50 0.04
 -------- 08:00 0.06 0.12 0.16 1.48 0.05
 -------- 09:00 0.07 0.12 0.17 1.52 0.06
 -------- 10:00 0.06 0.12 0.16 1.71 0.05
 29.12.12 11:00 0.07 0.12 0.15 1.64 0.05
 -------- 12:00 0.07 0.12 0.14 1.53 0.04
 -------- 13:00 0.07 0.12 0.16 1.50 0.05
 -------- 14:00 0.06 ---- 0.15 1.52 0.05
 -------- 15:00 0.06 ---- 0.15 1.49 0.04
 29.12.12 16:00 0.06 ---- 0.14 1.49 0.04
 -------- 17:00 0.07 ---- 0.14 1.50 0.05
 -------- 18:00 0.07 ---- 0.15 1.54 0.06
 -------- 19:00 0.05 ---- 0.15 1.53 0.05
 -------- 20:00 0.04 ---- 0.15 1.53 0.06
 29.12.12 21:00 0.05 ---- 0.13 1.51 0.05
 -------- 22:00 0.06 ---- 0.15 1.51 0.06
 -------- 23:00 0.05 ---- 0.13 1.52 0.06
