 Date Time CO SO2 H2S NO2 CHX NO
 04.04.13 12:00 0.08 0.00 ---- 0.25 1.67 0.08
 -------- 13:00 0.07 0.00 ---- 0.24 1.59 0.08
 -------- 14:00 0.07 0.00 ---- 0.23 1.59 0.07
 -------- 15:00 0.07 0.00 ---- 0.27 1.69 0.09
 -------- 16:00 0.06 0.00 0.12 0.24 5.22 0.06
 04.04.13 17:00 0.07 0.00 ---- 0.28 2.00 0.08
 -------- 18:00 0.10 0.00 ---- 0.30 1.80 0.10
 -------- 19:00 0.13 0.00 0.12 0.34 1.90 0.13
 -------- 20:00 0.16 0.00 0.12 0.33 1.71 0.16
 -------- 21:00 0.14 0.00 0.12 0.31 1.68 0.14
 04.04.13 22:00 0.12 0.00 0.12 0.29 1.69 0.11
 -------- 23:00 0.08 0.00 0.12 0.24 1.92 0.05
 -------- 00:00 0.06 0.00 0.12 0.24 1.73 0.04
 -------- 01:00 0.05 0.01 0.17 0.20 1.71 0.03
 -------- 02:00 0.04 0.01 0.21 0.18 1.67 0.02
 05.04.13 03:00 0.04 0.01 0.33 0.18 1.75 0.02
 -------- 04:00 0.04 0.01 0.33 0.21 1.69 0.03
 -------- 05:00 0.04 0.01 0.29 0.18 1.67 0.02
 -------- 06:00 0.05 0.01 0.25 0.21 1.76 0.03
 -------- 07:00 0.07 0.01 0.12 0.21 1.65 0.03
 05.04.13 08:00 0.10 0.01 0.21 0.23 1.82 0.03
 -------- 09:00 0.09 0.02 0.29 0.24 1.76 0.04
 -------- 10:00 0.10 0.04 0.50 0.27 1.94 0.05
 -------- 11:00 0.09 0.03 0.33 0.25 1.88 0.04
 -------- 12:00 0.09 0.05 0.46 0.27 2.06 0.06
 05.04.13 13:00 0.10 0.07 0.54 0.29 2.08 0.07
 -------- 14:00 0.10 0.06 0.46 0.32 2.00 0.08
 -------- 15:00 0.11 0.06 0.42 0.32 3.88 0.07
 -------- 16:00 0.12 0.06 0.50 0.35 2.73 0.08
 -------- 17:00 0.14 0.05 0.38 0.33 2.25 0.10
 05.04.13 18:00 0.11 0.03 0.33 0.35 2.08 0.13
 -------- 19:00 0.11 0.04 0.33 0.31 2.11 0.10
 -------- 20:00 0.10 0.02 0.25 0.21 1.95 0.04
 -------- 21:00 0.12 0.01 0.25 0.20 1.88 0.03
 -------- 22:00 0.11 0.01 0.25 0.17 1.86 0.03
 05.04.13 23:00 0.09 0.01 0.25 0.18 1.76 0.04
 -------- 00:00 0.11 0.01 0.17 0.21 1.81 0.04
 -------- 01:00 0.14 0.01 0.25 0.23 1.85 0.10
 -------- 02:00 0.15 0.01 0.21 0.21 1.85 0.11
 -------- 03:00 0.13 0.01 0.25 0.20 1.67 0.12
 06.04.13 04:00 0.10 0.01 0.25 0.17 1.61 0.08
 -------- 05:00 0.08 0.00 0.21 0.17 1.58 0.07
 -------- 06:00 0.08 0.00 0.33 0.17 1.70 0.06
 -------- 07:00 0.08 0.00 0.29 0.19 1.66 0.04
 -------- 08:00 0.08 0.00 0.29 0.19 1.65 0.05
 06.04.13 09:00 0.12 0.01 0.29 0.23 1.70 0.09
 -------- 10:00 0.13 0.01 0.25 0.23 1.72 0.10
 -------- 11:00 0.10 0.00 0.25 0.20 1.65 0.06
