 Date Time CO NO2 CHX NO
 06.12.12 00:00 0.10 0.19 1.81 0.12
 -------- 01:00 0.07 0.22 1.73 0.15
 -------- 02:00 0.06 0.17 1.68 0.05
 -------- 03:00 0.04 0.14 1.59 0.02
 -------- 04:00 0.04 0.11 1.67 0.01
 06.12.12 05:00 0.04 0.09 1.57 0.00
 -------- 06:00 0.04 0.10 1.67 0.01
 -------- 07:00 0.04 0.10 1.69 0.01
 -------- 08:00 0.05 0.10 1.81 0.01
 -------- 09:00 0.05 0.12 1.91 0.02
 06.12.12 10:00 0.07 0.12 1.84 0.03
 -------- 11:00 0.06 0.11 1.82 0.03
 -------- 12:00 0.06 0.10 1.81 0.03
 -------- 13:00 0.05 0.09 1.75 0.02
 -------- 14:00 0.05 0.09 1.70 0.02
 06.12.12 15:00 0.07 0.11 1.95 0.03
 -------- 16:00 0.07 0.12 3.70 0.04
 -------- 17:00 0.08 0.14 3.50 0.06
 -------- 18:00 0.09 0.13 2.04 0.06
 -------- 19:00 0.05 0.14 2.03 0.09
 06.12.12 20:00 0.06 0.14 1.86 0.07
 -------- 21:00 0.06 0.13 1.92 0.06
 -------- 22:00 0.06 0.12 1.91 0.03
 -------- 23:00 0.05 0.10 1.76 0.02
 -------- 00:00 0.04 0.11 1.62 0.01
 07.12.12 01:00 0.02 0.08 1.57 0.01
 -------- 02:00 0.02 0.07 1.54 0.00
 -------- 03:00 0.03 0.07 1.54 0.01
 -------- 04:00 0.03 0.06 1.56 0.00
 -------- 05:00 0.02 0.07 1.61 0.00
 07.12.12 06:00 0.03 0.07 1.60 0.01
 -------- 07:00 0.03 0.09 1.67 0.01
 -------- 08:00 0.02 0.08 1.69 0.02
 -------- 09:00 0.03 0.10 1.69 0.03
 -------- 10:00 0.04 0.10 1.80 0.02
 07.12.12 11:00 0.05 0.13 1.94 0.06
 -------- 12:00 0.03 0.11 1.82 0.04
 -------- 13:00 0.05 0.13 1.93 0.07
 -------- 14:00 0.04 0.14 3.04 0.09
 -------- 15:00 0.04 0.12 2.87 0.03
 07.12.12 16:00 0.04 0.13 1.80 0.04
 -------- 17:00 0.09 0.13 1.82 0.06
 -------- 18:00 0.06 0.13 1.78 0.04
 -------- 19:00 0.07 0.15 1.77 0.06
 -------- 20:00 0.08 0.13 1.87 0.06
 07.12.12 21:00 0.07 0.11 1.83 0.04
 -------- 22:00 0.07 0.10 1.82 0.06
 -------- 23:00 0.07 0.10 1.83 0.08
