 Date Time CO SO2 H2S NO2 CHX NO
 05.03.13 12:00 0.14 0.01 0.12 0.28 1.75 0.17
 -------- 13:00 0.13 0.01 0.12 0.26 1.75 0.14
 -------- 14:00 0.15 0.01 0.12 0.27 2.39 0.14
 -------- 15:00 0.13 0.01 0.17 0.28 2.36 0.13
 -------- 16:00 0.14 0.01 0.25 0.30 1.81 0.17
 05.03.13 17:00 0.15 0.01 0.25 0.29 1.74 0.15
 -------- 18:00 0.19 0.01 0.29 0.28 1.75 0.14
 -------- 19:00 0.12 0.01 0.25 0.28 1.70 0.13
 -------- 20:00 0.10 0.01 0.79 0.28 1.79 0.11
 -------- 21:00 0.24 0.01 0.62 0.30 2.29 0.28
 05.03.13 22:00 0.31 0.01 0.42 0.34 2.57 0.41
 -------- 23:00 0.27 0.01 0.38 0.32 2.78 0.37
 -------- 00:00 0.17 0.02 0.29 0.30 2.45 0.24
 -------- 01:00 0.25 0.02 0.38 0.33 2.69 0.40
 -------- 02:00 0.15 0.01 0.38 0.30 2.41 0.25
 06.03.13 03:00 0.13 0.01 0.38 0.29 2.16 0.22
 -------- 04:00 0.08 0.01 0.25 0.27 1.96 0.12
 -------- 05:00 0.07 0.01 0.25 0.26 1.84 0.07
 -------- 06:00 0.06 0.01 0.25 0.25 1.95 0.05
 -------- 07:00 0.08 0.02 0.38 0.24 4.88 0.05
 06.03.13 08:00 0.11 0.01 0.38 0.24 2.09 0.06
 -------- 09:00 0.11 0.01 0.33 0.24 1.92 0.07
 -------- 10:00 0.11 0.01 0.29 0.23 1.88 0.07
 -------- 11:00 0.11 0.01 0.25 0.21 1.90 0.06
 -------- 12:00 0.11 0.01 0.25 0.21 2.01 0.06
 06.03.13 13:00 0.11 0.01 0.25 0.20 1.99 0.06
 -------- 14:00 0.09 0.02 0.25 0.20 1.94 0.04
 -------- 15:00 0.10 0.02 0.33 0.22 2.02 0.05
 -------- 16:00 0.10 0.02 0.42 0.24 1.86 0.06
 -------- 17:00 0.11 0.02 0.50 0.25 2.08 0.05
 06.03.13 18:00 0.13 0.02 0.50 0.27 2.17 0.05
 -------- 19:00 0.13 0.02 0.50 0.27 1.95 0.05
 -------- 20:00 0.13 0.02 0.50 0.27 1.96 0.06
 -------- 21:00 0.17 0.02 0.50 0.27 2.15 0.05
 -------- 22:00 0.19 0.02 0.50 0.27 1.95 0.07
 06.03.13 23:00 0.11 0.02 0.50 0.24 1.77 0.06
 -------- 00:00 0.10 0.02 0.29 0.22 4.93 0.03
 -------- 01:00 0.13 0.01 0.25 0.22 2.26 0.03
 -------- 02:00 0.10 0.01 0.25 0.18 1.65 0.02
 -------- 03:00 0.11 0.01 0.25 0.18 1.56 0.01
 07.03.13 04:00 0.13 0.01 0.25 0.19 1.56 0.01
 -------- 05:00 0.11 0.01 0.29 0.21 1.56 0.02
 -------- 06:00 0.08 0.01 0.38 0.20 1.63 0.02
 -------- 07:00 0.07 0.01 0.46 0.20 1.59 0.02
 -------- 08:00 0.08 0.01 0.38 0.21 1.56 0.02
 07.03.13 09:00 0.08 0.01 0.12 0.20 1.53 0.02
 -------- 10:00 0.07 0.01 0.12 0.20 1.52 0.03
 -------- 11:00 0.06 0.01 0.12 0.18 1.50 0.03
