 Date Time CO H2S NO2 CHX NO
 17.02.13 00:00 0.09 ---- 0.12 1.57 0.02
 -------- 01:00 0.09 ---- 0.11 1.57 0.02
 -------- 02:00 0.10 ---- 0.12 1.61 0.02
 -------- 03:00 0.09 ---- 0.14 1.63 0.03
 -------- 04:00 0.10 ---- 0.17 1.68 0.05
 17.02.13 05:00 0.08 ---- 0.13 1.64 0.02
 -------- 06:00 0.09 ---- 0.15 1.62 0.02
 -------- 07:00 0.07 ---- 0.15 1.61 0.02
 -------- 08:00 0.06 ---- 0.12 1.65 0.01
 -------- 09:00 0.07 ---- 0.15 1.63 0.03
 17.02.13 10:00 0.08 ---- 0.17 1.66 0.05
 -------- 11:00 0.07 ---- 0.16 1.65 0.04
 -------- 12:00 0.07 ---- 0.16 1.65 0.04
 -------- 13:00 0.09 ---- 0.18 1.66 0.07
 -------- 14:00 0.09 ---- 0.19 1.66 0.07
 17.02.13 15:00 0.11 ---- 0.19 1.66 0.08
 -------- 16:00 0.10 ---- 0.20 1.66 0.08
 -------- 17:00 0.13 ---- 0.21 1.66 0.09
 -------- 18:00 0.13 ---- 0.21 1.66 0.10
 -------- 19:00 0.11 ---- 0.18 1.62 0.06
 17.02.13 20:00 0.17 ---- 0.20 1.65 0.09
 -------- 21:00 0.17 ---- 0.20 1.65 0.11
 -------- 22:00 0.11 ---- 0.14 1.58 0.03
 -------- 23:00 0.11 ---- 0.15 1.58 0.02
 -------- 00:00 0.11 ---- 0.15 1.58 0.02
 18.02.13 01:00 0.09 ---- 0.13 1.56 0.01
 -------- 02:00 0.09 ---- 0.12 1.55 0.01
 -------- 03:00 0.08 ---- 0.11 1.53 0.01
 -------- 04:00 0.07 ---- 0.12 1.53 0.00
 -------- 05:00 0.09 ---- 0.17 1.54 0.03
 18.02.13 06:00 0.10 ---- 0.17 1.56 0.04
 -------- 07:00 0.09 ---- 0.17 1.55 0.04
 -------- 08:00 0.08 ---- 0.16 1.56 0.02
 -------- 09:00 0.08 ---- 0.16 1.57 0.03
 -------- 10:00 0.09 ---- 0.19 1.60 0.06
 18.02.13 11:00 0.09 ---- 0.20 1.58 0.07
 -------- 12:00 0.10 ---- 0.21 1.57 0.09
 -------- 13:00 0.11 ---- 0.21 1.62 0.10
 -------- 14:00 0.11 ---- 0.21 1.64 0.09
 -------- 15:00 0.13 ---- 0.24 1.68 0.15
 18.02.13 16:00 0.14 ---- 0.24 1.73 0.15
 -------- 17:00 0.15 ---- 0.24 1.79 0.15
 -------- 18:00 0.18 ---- 0.23 1.81 0.16
 -------- 19:00 0.10 ---- 0.21 1.77 0.09
 -------- 20:00 0.09 ---- 0.21 1.71 0.07
 18.02.13 21:00 0.08 ---- 0.20 1.66 0.05
 -------- 22:00 0.07 ---- 0.19 1.62 0.04
 -------- 23:00 0.07 ---- 0.17 1.59 0.03
