 Date Time CO H2S NO2 CHX NO
 22.01.13 00:00 0.06 ---- 0.18 1.58 0.08
 -------- 01:00 0.09 ---- 0.18 1.60 0.06
 -------- 02:00 0.05 ---- 0.16 1.57 0.04
 -------- 03:00 0.02 ---- 0.16 1.57 0.03
 -------- 04:00 0.02 ---- 0.17 1.58 0.03
 22.01.13 05:00 0.02 ---- 0.18 1.53 0.05
 -------- 06:00 0.04 ---- 0.20 1.57 0.10
 -------- 07:00 0.05 ---- 0.20 1.58 0.10
 -------- 08:00 0.09 ---- 0.22 1.61 0.14
 -------- 09:00 0.10 ---- 0.23 1.68 0.19
 22.01.13 10:00 0.13 ---- 0.24 1.72 0.24
 -------- 11:00 0.11 ---- 0.24 1.72 0.26
 -------- 12:00 0.09 ---- 0.22 1.68 0.21
 -------- 13:00 0.11 ---- 0.23 1.71 0.23
 -------- 14:00 0.13 ---- 0.23 1.86 0.23
 22.01.13 15:00 0.12 ---- 0.23 1.91 0.24
 -------- 16:00 0.11 ---- 0.24 1.81 0.24
 -------- 17:00 0.13 ---- 0.26 1.97 0.29
 -------- 18:00 0.25 ---- 0.24 2.24 0.30
 -------- 19:00 0.13 ---- 0.23 1.84 0.18
 22.01.13 20:00 0.12 ---- 0.21 1.69 0.12
 -------- 21:00 0.14 ---- 0.21 1.71 0.15
 -------- 22:00 0.14 ---- 0.21 1.68 0.14
 -------- 23:00 0.13 ---- 0.20 1.66 0.13
 -------- 00:00 0.13 ---- 0.20 1.67 0.13
 23.01.13 01:00 0.15 ---- 0.19 1.69 0.11
 -------- 02:00 0.12 ---- 0.20 1.71 0.11
 -------- 03:00 0.10 ---- 0.18 1.63 0.06
 -------- 04:00 0.08 ---- 0.19 1.63 0.09
 -------- 05:00 0.09 ---- 0.20 1.69 0.11
 23.01.13 06:00 0.10 ---- 0.20 1.66 0.14
 -------- 07:00 0.13 ---- 0.22 1.70 0.22
 -------- 08:00 0.14 ---- 0.23 1.72 0.24
 -------- 09:00 0.18 ---- 0.24 1.82 0.31
 -------- 10:00 0.17 ---- 0.24 1.80 0.31
 23.01.13 11:00 0.23 ---- 0.27 2.13 0.40
 -------- 12:00 0.25 ---- 0.29 2.26 0.47
 -------- 13:00 0.21 ---- 0.27 2.04 0.38
 -------- 14:00 0.16 ---- 0.23 1.80 0.30
 -------- 15:00 0.16 ---- 0.23 1.79 0.27
 23.01.13 16:00 0.17 ---- 0.23 1.78 0.26
 -------- 17:00 0.16 ---- 0.23 1.73 0.24
 -------- 18:00 0.20 ---- 0.24 1.77 0.22
 -------- 19:00 0.18 ---- 0.25 1.81 0.28
 -------- 20:00 0.13 ---- 0.24 1.79 0.25
 23.01.13 21:00 0.13 ---- 0.24 1.79 0.26
 -------- 22:00 0.05 ---- 0.19 1.61 0.08
 -------- 23:00 0.06 ---- 0.17 1.61 0.05
