 Date Time CO H2S NO2 CHX NO
 10.01.13 12:00 0.11 ---- 0.16 1.85 0.11
 -------- 13:00 0.11 ---- 0.17 1.87 0.13
 -------- 14:00 0.10 ---- 0.18 1.83 0.13
 -------- 15:00 0.11 ---- 0.18 2.50 0.13
 -------- 16:00 0.10 ---- 0.17 9.19 0.12
 10.01.13 17:00 0.11 ---- 0.18 2.80 0.12
 -------- 18:00 0.17 ---- 0.18 2.21 0.13
 -------- 19:00 0.12 ---- 0.17 1.92 0.09
 -------- 20:00 0.13 ---- 0.16 1.88 0.08
 -------- 21:00 0.11 ---- 0.15 1.80 0.07
 10.01.13 22:00 0.10 ---- 0.15 1.74 0.07
 -------- 23:00 0.08 ---- 0.14 1.72 0.06
 -------- 00:00 0.08 ---- 0.14 1.67 0.06
 -------- 01:00 0.06 ---- 0.12 1.66 0.03
 -------- 02:00 0.05 ---- 0.10 1.62 0.01
 11.01.13 03:00 0.05 ---- 0.09 1.57 0.00
 -------- 04:00 0.05 ---- 0.08 1.61 0.00
 -------- 05:00 0.05 ---- 0.08 1.59 0.01
 -------- 06:00 0.05 ---- 0.07 1.62 0.01
 -------- 07:00 0.09 ---- 0.09 1.76 0.01
 11.01.13 08:00 0.10 ---- 0.11 1.99 0.02
 -------- 09:00 0.09 ---- 0.10 1.80 0.01
 -------- 10:00 0.11 ---- 0.10 1.85 0.02
 -------- 11:00 0.13 ---- 0.15 1.92 0.04
 -------- 12:00 0.10 ---- 0.14 1.87 0.03
 11.01.13 13:00 0.11 ---- 0.15 1.84 0.04
 -------- 14:00 0.13 ---- 0.17 2.69 0.08
 -------- 15:00 0.13 ---- 0.17 3.13 0.07
 -------- 16:00 0.13 ---- 0.17 2.05 0.06
 -------- 17:00 0.18 ---- 0.19 2.02 0.13
 11.01.13 18:00 0.15 ---- 0.17 2.00 0.08
 -------- 19:00 0.10 ---- 0.15 1.88 0.05
 -------- 20:00 0.10 ---- 0.14 1.84 0.06
 -------- 21:00 0.08 ---- 0.13 1.75 0.04
 -------- 22:00 0.07 ---- 0.14 1.72 0.03
 11.01.13 23:00 0.06 ---- 0.13 1.75 0.02
 -------- 00:00 0.07 ---- 0.12 1.75 0.02
 -------- 01:00 0.07 ---- 0.13 1.78 0.07
 -------- 02:00 0.09 ---- 0.14 1.73 0.10
 -------- 03:00 0.09 ---- 0.14 1.92 0.10
 12.01.13 04:00 0.06 ---- 0.13 1.94 0.04
 -------- 05:00 0.07 ---- 0.13 1.90 0.05
 -------- 06:00 0.08 ---- 0.15 1.90 0.10
 -------- 07:00 0.09 ---- 0.14 1.91 0.06
 -------- 08:00 0.12 ---- 0.15 2.00 0.09
 12.01.13 09:00 0.13 ---- 0.15 1.90 0.11
 -------- 10:00 0.17 ---- 0.15 2.08 0.15
 -------- 11:00 0.15 ---- 0.15 2.08 0.13
