 Date Time CO H2S NO2 CHX NO
 14.01.13 00:00 0.09 ---- 0.17 1.63 0.11
 -------- 01:00 0.08 ---- 0.16 1.59 0.08
 -------- 02:00 0.07 ---- 0.15 1.57 0.06
 -------- 03:00 0.06 ---- 0.14 1.56 0.05
 -------- 04:00 0.06 ---- 0.15 1.56 0.05
 14.01.13 05:00 0.06 ---- 0.15 1.55 0.06
 -------- 06:00 0.08 ---- 0.15 1.57 0.09
 -------- 07:00 0.07 ---- 0.15 1.60 0.08
 -------- 08:00 0.09 ---- 0.16 1.66 0.11
 -------- 09:00 0.11 ---- 0.18 1.73 0.17
 14.01.13 10:00 0.10 ---- 0.19 1.69 0.17
 -------- 11:00 0.11 ---- 0.19 1.74 0.17
 -------- 12:00 0.13 ---- 0.20 1.74 0.18
 -------- 13:00 0.11 ---- 0.20 1.64 0.19
 -------- 14:00 0.10 ---- 0.20 1.62 0.17
 14.01.13 15:00 0.11 ---- 0.20 1.69 0.18
 -------- 16:00 0.10 ---- 0.19 1.63 0.13
 -------- 17:00 0.09 ---- 0.20 1.60 0.09
 -------- 18:00 0.10 ---- 0.19 1.60 0.09
 -------- 19:00 0.08 ---- 0.18 1.56 0.05
 14.01.13 20:00 0.08 ---- 0.16 1.53 0.04
 -------- 21:00 0.08 ---- 0.15 1.50 0.03
 -------- 22:00 0.08 ---- 0.13 1.51 0.03
 -------- 23:00 0.09 ---- 0.15 1.53 0.04
 -------- 00:00 0.08 ---- 0.14 1.52 0.03
 15.01.13 01:00 0.08 ---- 0.13 1.50 0.02
 -------- 02:00 0.06 ---- 0.12 1.50 0.01
 -------- 03:00 0.06 ---- 0.11 1.48 0.01
 -------- 04:00 0.06 ---- 0.09 1.45 0.01
 -------- 05:00 0.06 ---- 0.10 1.44 0.01
 15.01.13 06:00 0.06 ---- 0.14 1.49 0.03
 -------- 07:00 0.07 ---- 0.15 1.50 0.04
 -------- 08:00 0.09 ---- 0.17 1.53 0.05
 -------- 09:00 0.11 ---- 0.19 1.58 0.07
 -------- 10:00 0.10 ---- 0.19 1.55 0.06
 15.01.13 11:00 0.11 ---- 0.19 1.56 0.09
 -------- 12:00 0.11 ---- 0.19 1.58 0.10
 -------- 13:00 0.17 ---- 0.19 1.63 0.11
 -------- 14:00 0.13 ---- 0.20 1.63 0.13
 -------- 15:00 0.12 ---- 0.20 1.61 0.12
 15.01.13 16:00 0.14 ---- 0.21 1.64 0.14
 -------- 17:00 0.13 ---- 0.21 1.64 0.13
 -------- 18:00 0.14 ---- 0.22 1.68 0.14
 -------- 19:00 0.11 ---- 0.21 1.71 0.13
 -------- 20:00 0.11 ---- 0.21 1.74 0.15
 15.01.13 21:00 0.14 ---- 0.21 1.86 0.16
 -------- 22:00 0.15 ---- 0.21 2.03 0.16
 -------- 23:00 0.10 ---- 0.20 1.98 0.13
 -------- 00:00 0.08 ---- 0.20 1.68 0.09
