 Date Time CO H2S NO2 CHX NO
 24.10.12 12:00 0.14 0.12 0.13 1.53 0.10
 -------- 13:00 0.23 0.12 0.14 1.53 0.15
 -------- 14:00 0.23 0.21 0.16 1.60 0.23
 -------- 15:00 0.17 0.12 0.18 1.79 0.16
 -------- 16:00 0.15 0.17 0.17 1.94 0.13
 24.10.12 17:00 0.14 0.12 0.16 1.46 0.12
 -------- 18:00 0.15 0.21 0.14 1.44 0.09
 -------- 19:00 0.10 0.17 0.14 1.39 0.06
 -------- 20:00 0.08 0.67 0.16 1.42 0.07
 -------- 21:00 0.15 0.33 0.18 1.49 0.16
 24.10.12 22:00 0.15 0.25 0.17 1.47 0.15
 -------- 23:00 0.13 0.17 0.16 1.50 0.13
 -------- 00:00 0.13 0.12 0.15 1.52 0.12
 -------- 01:00 0.09 0.12 0.13 1.47 0.08
 -------- 02:00 0.09 ---- 0.12 1.42 0.06
 25.10.12 03:00 0.07 0.12 0.12 1.42 0.05
 -------- 04:00 0.05 0.25 0.12 1.42 0.04
 -------- 05:00 0.06 0.12 0.13 4.98 0.05
 -------- 06:00 0.09 0.12 0.14 5.45 0.08
 -------- 07:00 0.11 0.12 0.14 2.26 0.09
 25.10.12 08:00 0.15 0.12 0.16 1.70 0.12
 -------- 09:00 0.18 0.17 0.18 1.65 0.16
 -------- 10:00 0.15 0.25 0.18 1.56 0.14
 -------- 11:00 0.14 0.17 0.17 1.59 0.12
 -------- 12:00 0.15 0.17 0.17 1.53 0.11
 25.10.12 13:00 0.15 0.12 0.17 1.55 0.14
 -------- 14:00 0.15 0.21 0.18 1.53 0.13
 -------- 15:00 0.13 0.12 0.17 1.45 0.11
 -------- 16:00 0.14 0.17 0.18 1.46 0.12
 -------- 17:00 0.14 0.19 0.17 1.48 0.12
 25.10.12 18:00 0.15 0.12 0.17 1.51 0.11
 -------- 19:00 0.15 0.12 0.17 1.57 0.10
 -------- 20:00 0.16 0.12 0.16 1.61 0.09
 -------- 21:00 0.16 0.12 0.15 1.58 0.09
 -------- 22:00 0.13 0.12 0.15 1.55 0.06
 25.10.12 23:00 0.13 0.17 0.15 3.18 0.06
 -------- 00:00 0.13 0.12 0.15 6.21 0.06
 -------- 01:00 0.10 0.12 0.12 2.71 0.03
 -------- 02:00 0.09 0.12 0.12 1.56 0.03
 -------- 03:00 0.08 0.12 0.09 1.44 0.02
 26.10.12 04:00 0.08 0.12 0.08 1.43 0.01
 -------- 05:00 0.09 ---- 0.10 1.44 0.02
 -------- 06:00 0.13 ---- 0.12 1.50 0.05
 -------- 07:00 0.09 ---- 0.12 1.55 0.05
 -------- 08:00 0.08 0.12 0.13 1.55 0.06
 26.10.12 09:00 0.11 0.12 0.15 1.58 0.10
 -------- 10:00 0.10 0.25 0.15 1.53 0.10
