 Date Time CO H2S NO2 CHX NO
 01.01.13 12:00 0.07 ---- 0.13 1.75 0.07
 -------- 13:00 0.06 ---- 0.13 1.71 0.05
 -------- 14:00 0.07 ---- 0.13 1.65 0.05
 -------- 15:00 0.09 ---- 0.12 1.81 0.04
 -------- 16:00 0.09 ---- 0.12 1.99 0.04
 01.01.13 17:00 0.07 ---- 0.11 1.98 0.02
 -------- 18:00 0.05 ---- 0.09 5.55 0.01
 -------- 19:00 0.05 ---- 0.10 2.67 0.01
 -------- 20:00 0.05 ---- 0.11 1.97 0.01
 -------- 21:00 0.04 ---- 0.09 1.77 0.01
 01.01.13 22:00 0.05 ---- 0.09 1.79 0.01
 -------- 23:00 0.05 ---- 0.09 1.72 0.01
 -------- 00:00 0.06 ---- 0.10 1.71 0.02
 -------- 01:00 0.07 ---- 0.10 1.73 0.03
 -------- 02:00 0.07 ---- 0.12 1.73 0.05
 02.01.13 03:00 0.06 ---- 0.10 1.71 0.03
 -------- 04:00 0.06 ---- 0.09 1.65 0.02
 -------- 05:00 0.06 ---- 0.10 1.60 0.03
 -------- 06:00 0.05 ---- 0.10 1.58 0.03
 -------- 07:00 0.06 ---- 0.10 1.59 0.03
 02.01.13 08:00 0.06 ---- 0.11 1.60 0.03
 -------- 09:00 0.06 ---- 0.09 1.58 0.02
 -------- 10:00 0.06 ---- 0.10 1.57 0.03
 -------- 11:00 0.07 ---- 0.11 1.64 0.03
 -------- 12:00 0.07 ---- 0.12 1.67 0.05
 02.01.13 13:00 0.09 ---- 0.13 2.69 0.06
 -------- 14:00 0.11 ---- 0.16 5.62 0.07
 -------- 15:00 0.13 ---- 0.18 2.48 0.10
 -------- 16:00 0.13 ---- 0.17 1.93 0.08
 -------- 17:00 0.13 ---- 0.17 1.94 0.08
 02.01.13 18:00 0.16 ---- 0.20 2.02 0.11
 -------- 19:00 0.13 ---- 0.18 1.88 0.09
 -------- 20:00 0.15 ---- 0.19 1.83 0.09
 -------- 21:00 0.15 ---- 0.18 1.89 0.10
 -------- 22:00 0.15 ---- 0.18 1.82 0.09
 02.01.13 23:00 0.13 ---- 0.18 1.71 0.09
 -------- 00:00 0.09 ---- 0.15 1.60 0.04
 -------- 01:00 0.11 ---- 0.16 1.63 0.05
 -------- 02:00 0.09 ---- 0.14 3.15 0.04
 -------- 03:00 0.08 ---- 0.15 3.83 0.04
 03.01.13 04:00 0.08 ---- 0.14 1.69 0.03
 -------- 05:00 0.08 ---- 0.12 1.60 0.02
 -------- 06:00 0.08 ---- 0.13 1.58 0.03
 -------- 07:00 0.07 ---- 0.14 1.64 0.04
 -------- 08:00 0.07 ---- 0.14 1.64 0.04
 03.01.13 09:00 0.07 ---- 0.16 1.70 0.06
 -------- 10:00 0.07 ---- 0.17 1.71 0.07
 -------- 11:00 0.08 ---- 0.17 1.67 0.07
