 Date Time CO H2S NO2 CHX NO
 16.01.13 00:00 0.06 ---- 0.19 1.60 0.06
 -------- 01:00 0.08 ---- 0.20 1.73 0.09
 -------- 02:00 0.07 ---- 0.19 1.65 0.06
 -------- 03:00 0.03 ---- 0.15 1.66 0.01
 -------- 04:00 0.02 ---- 0.09 1.59 0.00
 16.01.13 05:00 0.02 ---- 0.09 1.59 0.00
 -------- 06:00 0.03 ---- 0.10 1.66 0.00
 -------- 07:00 0.06 ---- 0.12 1.66 0.01
 -------- 08:00 0.05 ---- 0.11 1.67 0.01
 -------- 09:00 0.05 ---- 0.13 1.75 0.02
 16.01.13 10:00 0.06 ---- 0.13 1.76 0.01
 -------- 11:00 0.08 ---- 0.13 1.88 0.01
 -------- 12:00 0.07 ---- 0.16 2.05 0.05
 -------- 13:00 0.09 ---- 0.15 1.91 0.04
 -------- 14:00 0.08 ---- 0.16 1.88 0.05
 16.01.13 15:00 0.11 ---- 0.17 2.29 0.06
 -------- 16:00 0.12 ---- 0.19 2.00 0.11
 -------- 17:00 0.09 ---- 0.19 2.03 0.11
 -------- 18:00 0.16 ---- 0.19 3.09 0.13
 -------- 19:00 0.13 ---- 0.19 2.02 0.11
 16.01.13 20:00 0.12 ---- 0.17 2.18 0.10
 -------- 21:00 0.12 ---- 0.17 2.02 0.10
 -------- 22:00 0.11 ---- 0.16 1.92 0.12
 -------- 23:00 0.11 ---- 0.17 1.76 0.12
 -------- 00:00 0.09 ---- 0.15 1.87 0.09
 17.01.13 01:00 0.09 ---- 0.15 2.11 0.07
 -------- 02:00 0.07 ---- 0.14 1.90 0.05
 -------- 03:00 0.06 ---- 0.13 1.79 0.04
 -------- 04:00 0.06 ---- 0.14 1.78 0.06
 -------- 05:00 0.07 ---- 0.14 1.76 0.08
 17.01.13 06:00 0.09 ---- 0.17 1.78 0.11
 -------- 07:00 0.12 ---- 0.16 1.78 0.09
 -------- 08:00 0.14 ---- 0.16 1.90 0.10
 -------- 09:00 0.13 ---- 0.16 1.79 0.11
 -------- 10:00 0.13 ---- 0.18 1.79 0.15
 17.01.13 11:00 0.11 ---- 0.16 1.75 0.09
 -------- 12:00 0.13 ---- 0.16 1.79 0.09
 -------- 13:00 0.11 ---- 0.16 1.69 0.10
 -------- 14:00 0.11 ---- 0.16 1.66 0.10
 -------- 15:00 0.17 ---- 0.16 1.80 0.12
 17.01.13 16:00 0.14 ---- 0.16 2.59 0.11
 -------- 17:00 0.11 ---- 0.17 2.88 0.10
 -------- 18:00 0.13 ---- 0.16 1.84 0.10
 -------- 19:00 0.11 ---- 0.16 1.68 0.09
 -------- 20:00 0.11 ---- 0.15 1.68 0.08
 17.01.13 21:00 0.09 ---- 0.14 1.65 0.06
 -------- 22:00 0.08 ---- 0.16 1.70 0.07
 -------- 23:00 0.08 ---- 0.14 1.71 0.05
