 Date Time CO H2S NO2 NO
 21.09.12 12:00 0.17 ---- 0.20 0.09
 -------- 13:00 0.25 0.19 0.19 0.06
 -------- 14:00 0.23 0.12 0.19 0.06
 -------- 15:00 0.23 0.12 0.19 0.06
 -------- 16:00 0.21 0.12 0.19 0.06
 21.09.12 17:00 0.23 0.21 0.21 0.05
 -------- 18:00 0.28 0.38 0.29 0.11
 -------- 19:00 0.27 0.25 0.26 0.11
 -------- 20:00 0.21 ---- 0.18 0.18
 -------- 21:00 0.17 0.25 0.16 0.13
 21.09.12 22:00 0.13 0.38 0.15 0.09
 -------- 23:00 0.14 0.21 0.15 0.10
 -------- 00:00 0.13 0.17 0.15 0.10
 -------- 01:00 0.15 0.12 0.14 0.10
 -------- 02:00 0.12 0.12 0.13 0.10
 22.09.12 03:00 0.10 0.12 0.13 0.07
 -------- 04:00 0.09 0.12 0.12 0.06
 -------- 05:00 0.08 ---- 0.13 0.06
 -------- 06:00 0.07 ---- 0.14 0.09
 -------- 07:00 0.08 0.12 0.14 0.08
 22.09.12 08:00 0.13 0.12 0.14 0.10
 -------- 09:00 0.13 0.12 0.15 0.14
 -------- 10:00 0.15 0.17 0.14 0.12
 -------- 11:00 0.19 0.25 0.14 0.17
 -------- 12:00 0.13 0.25 0.13 0.11
 22.09.12 13:00 0.13 0.25 0.14 0.09
 -------- 14:00 0.15 0.29 0.16 0.09
 -------- 15:00 0.13 0.54 0.15 0.07
 -------- 16:00 0.11 0.54 0.17 0.04
 -------- 17:00 0.11 0.83 0.18 0.04
 22.09.12 18:00 0.15 0.67 0.21 0.07
 -------- 19:00 0.19 0.31 0.22 0.11
 -------- 20:00 0.30 0.29 0.23 0.21
 -------- 21:00 0.22 0.67 0.20 0.10
 -------- 22:00 0.19 3.08 0.21 0.10
 22.09.12 23:00 0.12 0.62 0.19 0.10
 -------- 00:00 0.09 0.17 0.11 0.03
 -------- 01:00 0.08 0.29 0.09 0.02
 -------- 02:00 0.07 0.29 0.07 0.01
 -------- 03:00 0.07 0.17 0.07 0.01
 23.09.12 04:00 0.07 0.12 0.07 0.01
 -------- 05:00 0.08 0.17 0.09 0.01
 -------- 06:00 0.07 0.17 0.09 0.01
 -------- 07:00 0.07 0.12 0.09 0.01
 -------- 08:00 0.08 ---- 0.08 0.01
 23.09.12 09:00 0.08 0.29 0.09 0.01
 -------- 10:00 0.09 0.12 0.09 0.02
 -------- 11:00 0.09 0.44 0.09 0.02
