 Date Time CO H2S NO2 NO
 10.10.12 12:00 0.16 0.25 0.14 0.16
 -------- 13:00 0.16 0.19 0.15 0.19
 -------- 14:00 0.14 ---- 0.16 0.16
 -------- 15:00 0.14 0.17 0.18 0.17
 -------- 16:00 0.15 0.25 0.17 0.14
 10.10.12 17:00 0.17 0.17 0.17 0.15
 -------- 18:00 0.17 0.12 0.17 0.14
 -------- 19:00 0.13 0.33 0.18 0.13
 -------- 20:00 0.13 0.46 0.18 0.12
 -------- 21:00 0.11 0.25 0.18 0.12
 10.10.12 22:00 0.11 0.12 0.17 0.11
 -------- 23:00 0.12 0.12 0.16 0.12
 -------- 00:00 0.07 0.12 0.13 0.08
 -------- 01:00 0.06 0.12 0.12 0.06
 -------- 02:00 0.03 0.12 0.11 0.05
 11.10.12 03:00 0.04 0.12 0.11 0.05
 -------- 04:00 0.03 ---- 0.10 0.04
 -------- 05:00 0.03 0.12 0.11 0.06
 -------- 06:00 0.07 0.12 0.13 0.10
 -------- 07:00 0.08 0.12 0.14 0.12
 11.10.12 08:00 0.11 0.21 0.14 0.14
 -------- 09:00 0.12 0.17 0.14 0.16
 -------- 10:00 0.11 0.12 0.14 0.16
 -------- 11:00 0.09 0.12 0.13 0.14
 -------- 12:00 0.09 0.12 0.13 0.13
 11.10.12 13:00 0.10 0.12 0.13 0.14
 -------- 14:00 0.08 0.75 0.14 0.14
 -------- 15:00 0.14 0.79 0.16 0.18
 -------- 16:00 0.13 0.75 0.16 0.18
 -------- 17:00 0.14 0.50 0.18 0.18
 11.10.12 18:00 0.17 0.25 0.19 0.20
 -------- 19:00 0.20 0.21 0.19 0.21
 -------- 20:00 0.22 0.29 0.17 0.19
 -------- 21:00 0.23 0.17 0.18 0.22
 -------- 22:00 0.21 0.17 0.17 0.24
 11.10.12 23:00 0.17 0.12 0.17 0.19
 -------- 00:00 0.23 0.17 0.17 0.26
 -------- 01:00 0.19 0.12 0.16 0.22
 -------- 02:00 0.14 0.12 0.15 0.16
 -------- 03:00 0.13 0.12 0.14 0.09
 12.10.12 04:00 0.13 0.17 0.14 0.11
 -------- 05:00 0.25 0.21 0.17 0.39
 -------- 06:00 0.37 0.46 0.18 0.66
 -------- 07:00 0.58 0.54 0.21 0.91
 -------- 08:00 0.38 0.38 0.16 0.48
 12.10.12 09:00 0.35 0.33 0.17 0.45
 -------- 10:00 0.28 0.38 0.17 0.39
 -------- 11:00 0.27 0.25 0.19 0.36
