 Date Time CO H2S NO2 NO
 17.10.12 12:00 0.09 0.25 0.08 0.10
 -------- 13:00 0.09 0.21 0.07 0.10
 -------- 14:00 0.09 0.21 0.08 0.09
 -------- 15:00 0.10 0.12 0.11 0.07
 -------- 16:00 0.07 0.17 0.12 0.05
 17.10.12 17:00 0.09 0.12 0.15 0.08
 -------- 18:00 0.12 0.12 0.17 0.12
 -------- 19:00 0.07 0.12 0.12 0.06
 -------- 20:00 0.07 0.21 0.10 0.05
 -------- 21:00 0.05 0.12 0.09 0.04
 17.10.12 22:00 0.05 0.25 0.09 0.03
 -------- 23:00 0.05 0.21 0.10 0.03
 -------- 00:00 0.06 0.25 0.12 0.04
 -------- 01:00 0.05 0.21 0.12 0.03
 -------- 02:00 0.04 0.25 0.10 0.03
 18.10.12 03:00 0.05 0.17 0.12 0.05
 -------- 04:00 0.05 0.21 0.13 0.04
 -------- 05:00 0.07 0.17 0.12 0.05
 -------- 06:00 0.07 0.25 0.13 0.07
 -------- 07:00 0.13 0.19 0.12 0.10
 18.10.12 08:00 0.21 0.12 0.13 0.12
 -------- 09:00 0.23 0.25 0.13 0.16
 -------- 10:00 0.20 0.25 0.14 0.15
 -------- 11:00 0.21 0.29 0.14 0.16
 -------- 12:00 0.20 0.33 0.14 0.18
 18.10.12 13:00 0.21 0.21 0.14 0.21
 -------- 14:00 0.22 0.25 0.13 0.23
 -------- 15:00 0.19 0.17 0.12 0.18
 -------- 16:00 0.15 0.21 0.11 0.11
 -------- 17:00 0.15 0.17 0.11 0.12
 18.10.12 18:00 0.19 0.12 0.12 0.14
 -------- 19:00 0.18 0.33 0.12 0.16
 -------- 20:00 0.13 0.29 0.16 0.12
 -------- 21:00 0.12 0.29 0.14 0.12
 -------- 22:00 0.18 0.38 0.14 0.22
 18.10.12 23:00 0.09 0.21 0.12 0.09
 -------- 00:00 0.18 0.33 0.14 0.25
 -------- 01:00 0.15 0.17 0.13 0.20
 -------- 02:00 0.13 0.12 0.12 0.17
 -------- 03:00 0.12 0.12 0.13 0.19
 19.10.12 04:00 0.12 0.25 0.12 0.19
 -------- 05:00 0.12 0.17 0.13 0.24
 -------- 06:00 0.13 0.25 0.13 0.25
 -------- 07:00 0.17 0.21 0.13 0.26
 -------- 08:00 0.24 0.38 0.15 0.38
 19.10.12 09:00 0.28 0.38 0.16 0.39
 -------- 10:00 0.24 0.50 0.16 0.37
 -------- 11:00 0.31 0.31 0.19 0.48
