 Date Time CO H2S NO2 CHX NO
 28.11.12 00:00 0.10 0.31 0.11 1.52 0.09
 -------- 01:00 0.10 0.25 0.11 1.52 0.08
 -------- 02:00 0.11 0.25 0.11 1.55 0.11
 -------- 03:00 0.10 0.19 0.10 1.55 0.09
 -------- 04:00 0.09 ---- 0.10 1.67 0.09
 28.11.12 05:00 0.09 0.44 0.11 1.72 0.09
 -------- 06:00 0.10 0.58 0.10 1.86 0.07
 -------- 07:00 0.13 0.25 0.10 2.23 0.10
 -------- 08:00 0.15 0.25 0.10 2.35 0.10
 -------- 09:00 0.12 0.25 0.10 1.97 0.09
 28.11.12 10:00 0.11 0.29 0.09 1.98 0.07
 -------- 11:00 0.11 0.25 0.09 2.02 0.06
 -------- 12:00 0.10 0.12 0.08 1.94 0.06
 -------- 13:00 0.10 0.12 0.09 1.96 0.09
 -------- 14:00 0.11 1.54 0.09 2.13 0.08
 28.11.12 15:00 0.12 2.21 0.10 2.71 0.10
 -------- 16:00 0.13 0.33 0.12 2.15 0.17
 -------- 17:00 0.15 0.21 0.11 1.99 0.10
 -------- 18:00 0.17 0.29 0.11 1.91 0.07
 -------- 19:00 0.11 0.25 0.10 1.85 0.05
 28.11.12 20:00 0.09 0.12 0.10 1.74 0.04
 -------- 21:00 0.11 0.12 0.10 1.90 0.05
 -------- 22:00 0.09 0.17 0.10 1.77 0.04
 -------- 23:00 0.07 0.12 0.09 1.63 0.03
 -------- 00:00 0.06 0.12 0.09 1.60 0.02
 29.11.12 01:00 0.05 0.25 0.08 1.65 0.03
 -------- 02:00 0.04 0.25 0.08 1.60 0.02
 -------- 03:00 0.04 0.17 0.07 1.60 0.01
 -------- 04:00 0.04 0.12 0.07 1.63 0.01
 -------- 05:00 0.04 0.12 0.08 1.58 0.02
 29.11.12 06:00 0.06 0.12 0.09 1.58 0.02
 -------- 07:00 0.06 0.12 0.10 1.55 0.02
 -------- 08:00 0.06 0.12 0.10 1.62 0.03
 -------- 09:00 0.07 0.12 0.11 1.64 0.03
 -------- 10:00 0.08 ---- 0.11 1.68 0.04
 29.11.12 11:00 0.07 0.25 0.11 1.64 0.03
 -------- 12:00 0.05 0.38 0.11 1.62 0.03
 -------- 13:00 0.05 0.25 0.11 1.62 0.04
 -------- 14:00 0.06 ---- 0.12 1.60 0.05
 -------- 15:00 0.06 0.19 0.12 1.66 0.04
 29.11.12 16:00 0.06 ---- 0.12 1.96 0.04
 -------- 17:00 0.07 ---- 0.12 2.85 0.04
 -------- 18:00 0.08 ---- 0.12 1.87 0.05
 -------- 19:00 0.07 ---- 0.10 1.76 0.03
 -------- 20:00 0.08 ---- 0.10 1.68 0.02
 29.11.12 21:00 0.09 ---- 0.10 1.65 0.02
 -------- 22:00 0.09 ---- 0.09 1.73 0.02
