 Date Time CO H2S NO2 CHX NO
 25.01.13 12:00 0.08 ---- 0.18 1.60 0.10
 -------- 13:00 0.11 ---- 0.20 1.67 0.13
 -------- 14:00 0.10 ---- 0.22 1.69 0.17
 -------- 15:00 0.09 ---- 0.22 1.66 0.16
 -------- 16:00 0.09 ---- 0.21 1.66 0.15
 25.01.13 17:00 0.09 ---- 0.21 1.66 0.12
 -------- 18:00 0.11 ---- 0.21 1.68 0.10
 -------- 19:00 0.09 ---- 0.21 1.70 0.11
 -------- 20:00 0.09 ---- 0.21 1.67 0.10
 -------- 21:00 0.09 ---- 0.20 1.69 0.09
 25.01.13 22:00 0.08 ---- 0.18 1.60 0.06
 -------- 23:00 0.08 ---- 0.19 1.60 0.10
 -------- 00:00 0.08 ---- 0.19 1.58 0.10
 -------- 01:00 0.11 ---- 0.19 1.62 0.10
 -------- 02:00 0.09 ---- 0.18 1.59 0.07
 26.01.13 03:00 0.07 ---- 0.18 1.59 0.07
 -------- 04:00 0.06 ---- 0.18 1.58 0.06
 -------- 05:00 0.05 ---- 0.18 1.57 0.06
 -------- 06:00 0.05 ---- 0.16 1.57 0.07
 -------- 07:00 0.05 ---- 0.17 1.57 0.06
 26.01.13 08:00 0.07 ---- 0.19 1.67 0.08
 -------- 09:00 0.11 ---- 0.20 1.90 0.15
 -------- 10:00 0.19 ---- 0.21 2.10 0.22
 -------- 11:00 0.15 ---- 0.22 1.81 0.26
 -------- 12:00 0.16 ---- 0.22 1.81 0.24
 26.01.13 13:00 0.14 ---- 0.23 1.81 0.21
 -------- 14:00 0.12 ---- 0.21 1.83 0.17
 -------- 15:00 0.14 ---- 0.23 1.96 0.19
 -------- 16:00 0.13 ---- 0.20 2.52 0.15
 -------- 17:00 0.12 ---- 0.21 1.84 0.15
 26.01.13 18:00 0.13 ---- 0.22 1.84 0.18
 -------- 19:00 0.13 ---- 0.22 1.85 0.16
 -------- 20:00 0.15 ---- 0.22 1.80 0.15
 -------- 21:00 0.18 ---- 0.23 1.80 0.19
 -------- 22:00 0.16 ---- 0.20 1.85 0.16
 26.01.13 23:00 0.15 ---- 0.19 1.79 0.14
 -------- 00:00 0.17 ---- 0.20 1.82 0.15
 -------- 01:00 0.15 ---- 0.20 1.77 0.15
 -------- 02:00 0.13 ---- 0.19 1.65 0.10
 -------- 03:00 0.12 ---- 0.19 1.66 0.11
 27.01.13 04:00 0.11 ---- 0.20 9.62 0.10
 -------- 05:00 0.11 ---- 0.21 3.50 0.10
 -------- 06:00 0.13 ---- 0.23 2.22 0.13
 -------- 07:00 0.09 ---- 0.21 2.00 0.09
 -------- 08:00 0.11 ---- 0.22 2.04 0.12
 27.01.13 09:00 0.12 ---- 0.22 1.96 0.15
 -------- 10:00 0.16 ---- 0.23 2.17 0.21
 -------- 11:00 0.15 ---- 0.23 2.22 0.20
