 Date Time CO H2S NO2 CHX NO
 23.10.12 12:00 0.11 0.12 0.13 1.56 0.08
 -------- 13:00 0.11 0.12 0.13 1.68 0.07
 -------- 14:00 0.11 0.17 0.13 1.73 0.07
 -------- 15:00 0.12 0.12 0.14 3.97 0.09
 -------- 16:00 0.11 0.12 0.13 2.69 0.07
 23.10.12 17:00 0.11 0.12 0.12 1.79 0.06
 -------- 18:00 0.12 0.12 0.12 1.66 0.07
 -------- 19:00 0.09 0.12 0.11 1.70 0.04
 -------- 20:00 0.07 0.12 0.12 1.62 0.04
 -------- 21:00 0.07 ---- 0.13 1.60 0.04
 23.10.12 22:00 0.05 0.12 0.12 1.53 0.03
 -------- 23:00 0.05 0.12 0.11 1.59 0.02
 -------- 00:00 0.04 0.12 0.11 1.68 0.02
 -------- 01:00 0.03 0.12 0.12 1.51 0.02
 -------- 02:00 0.03 0.17 0.11 1.45 0.02
 24.10.12 03:00 0.02 0.12 0.10 1.44 0.01
 -------- 04:00 0.02 0.12 0.10 1.42 0.02
 -------- 05:00 0.02 0.12 0.10 1.43 0.02
 -------- 06:00 0.05 0.12 0.11 1.56 0.03
 -------- 07:00 0.10 0.12 0.12 1.73 0.07
 24.10.12 08:00 0.19 0.17 0.14 1.66 0.18
 -------- 09:00 0.18 0.21 0.14 1.61 0.16
 -------- 10:00 0.17 0.21 0.13 1.63 0.14
 -------- 11:00 0.16 0.12 0.13 1.53 0.13
 -------- 12:00 0.14 0.12 0.13 1.52 0.10
 24.10.12 13:00 0.23 0.12 0.14 1.53 0.15
 -------- 14:00 0.23 0.21 0.16 1.60 0.23
 -------- 15:00 0.17 0.12 0.18 1.79 0.16
 -------- 16:00 0.15 0.17 0.17 1.94 0.13
 -------- 17:00 0.14 0.12 0.16 1.46 0.12
 24.10.12 18:00 0.15 0.21 0.14 1.44 0.09
 -------- 19:00 0.10 0.17 0.14 1.39 0.06
 -------- 20:00 0.08 0.67 0.16 1.42 0.07
 -------- 21:00 0.15 0.33 0.18 1.49 0.16
 -------- 22:00 0.15 0.25 0.17 1.47 0.15
 24.10.12 23:00 0.13 0.17 0.16 1.50 0.13
 -------- 00:00 0.13 0.12 0.15 1.52 0.12
 -------- 01:00 0.09 0.12 0.13 1.47 0.08
 -------- 02:00 0.09 ---- 0.12 1.42 0.06
 -------- 03:00 0.07 0.12 0.12 1.42 0.05
 25.10.12 04:00 0.05 0.25 0.12 1.42 0.04
 -------- 05:00 0.06 0.12 0.13 4.98 0.05
 -------- 06:00 0.09 0.12 0.14 5.45 0.08
 -------- 07:00 0.11 0.12 0.14 2.26 0.09
 -------- 08:00 0.15 0.12 0.16 1.70 0.12
 25.10.12 09:00 0.18 0.17 0.18 1.65 0.16
 -------- 10:00 0.15 0.25 0.18 1.56 0.14
 -------- 11:00 0.14 0.17 0.17 1.59 0.12
