 Date Time CO H2S NO2 NO
 26.10.12 12:00 0.11 0.38 0.16 0.13
 -------- 13:00 0.08 0.42 0.16 0.10
 -------- 14:00 0.06 0.17 0.13 0.06
 -------- 15:00 0.06 0.17 0.14 0.06
 -------- 16:00 0.05 0.21 0.15 0.07
 26.10.12 17:00 0.07 0.21 0.12 0.05
 -------- 18:00 0.06 0.38 0.13 0.05
 -------- 19:00 0.07 0.50 0.15 0.05
 -------- 20:00 0.10 0.58 0.17 0.06
 -------- 21:00 0.11 0.33 0.17 0.07
 26.10.12 22:00 0.09 0.29 0.14 0.05
 -------- 23:00 0.07 0.46 0.13 0.04
 -------- 00:00 0.07 0.33 0.10 0.03
 -------- 01:00 0.06 0.33 0.09 0.02
 -------- 02:00 0.09 0.38 0.10 0.02
 27.10.12 03:00 0.11 0.12 0.10 0.02
 -------- 04:00 0.09 0.29 0.10 0.02
 -------- 05:00 0.06 0.29 0.10 0.02
 -------- 06:00 0.06 0.42 0.10 0.02
 -------- 07:00 0.05 0.42 0.12 0.03
 27.10.12 08:00 0.07 0.33 0.13 0.04
 -------- 09:00 0.14 0.12 0.15 0.08
 -------- 10:00 0.12 0.12 0.14 0.08
 -------- 11:00 0.14 0.12 0.13 0.07
 -------- 12:00 0.13 0.12 0.13 0.07
 27.10.12 13:00 0.12 0.12 0.13 0.07
 -------- 14:00 0.11 0.12 0.13 0.07
 -------- 15:00 0.09 0.21 0.13 0.06
 -------- 16:00 0.07 0.38 0.15 0.06
 -------- 17:00 0.11 0.29 0.17 0.08
 27.10.12 18:00 0.15 0.33 0.19 0.11
 -------- 19:00 0.18 0.12 0.19 0.15
 -------- 20:00 0.19 0.12 0.18 0.13
 -------- 21:00 0.17 0.12 0.18 0.12
 -------- 22:00 0.15 0.12 0.17 0.11
 27.10.12 23:00 0.13 0.12 0.15 0.08
 -------- 00:00 0.11 0.12 0.15 0.06
 -------- 01:00 0.11 0.17 0.15 0.06
 -------- 02:00 0.06 0.12 0.09 0.01
 -------- 03:00 0.05 0.12 0.10 0.01
 28.10.12 04:00 0.05 0.12 0.11 0.01
 -------- 05:00 0.04 0.17 0.08 0.00
 -------- 06:00 0.05 0.17 0.10 0.01
 -------- 07:00 0.04 0.12 0.09 0.00
 -------- 08:00 0.02 0.25 0.14 0.03
 28.10.12 09:00 0.05 0.29 0.16 0.04
 -------- 10:00 0.07 0.25 0.17 0.07
 -------- 11:00 0.07 0.21 0.17 0.07
