 Date Time CO H2S NO2 NO
 15.10.12 12:00 0.06 0.12 0.12 0.05
 -------- 13:00 0.05 0.17 0.13 0.04
 -------- 14:00 0.05 0.12 0.13 0.04
 -------- 15:00 0.04 0.12 0.12 0.03
 -------- 16:00 0.04 0.12 0.12 0.02
 15.10.12 17:00 0.09 0.12 0.19 0.05
 -------- 18:00 0.11 0.12 0.20 0.05
 -------- 19:00 0.07 0.12 0.17 0.03
 -------- 20:00 0.07 ---- 0.14 0.02
 -------- 21:00 0.08 0.12 0.14 0.04
 15.10.12 22:00 0.05 0.12 0.13 0.03
 -------- 23:00 0.05 0.12 0.11 0.03
 -------- 00:00 0.03 0.12 0.12 0.03
 -------- 01:00 0.02 0.21 0.13 0.02
 -------- 02:00 0.02 0.25 0.10 0.02
 16.10.12 03:00 0.02 0.25 0.11 0.02
 -------- 04:00 0.02 ---- 0.07 0.01
 -------- 05:00 0.02 0.12 0.08 0.02
 -------- 06:00 0.04 0.12 0.09 0.02
 -------- 07:00 0.04 0.25 0.09 0.02
 16.10.12 08:00 0.09 0.25 0.09 0.02
 -------- 09:00 0.07 0.17 0.11 0.03
 -------- 10:00 0.07 0.12 0.10 0.03
 -------- 11:00 0.09 0.12 0.12 0.05
 -------- 12:00 0.09 0.12 0.11 0.04
 16.10.12 13:00 0.07 0.12 0.11 0.04
 -------- 14:00 0.09 0.21 0.12 0.06
 -------- 15:00 0.07 0.19 0.12 0.05
 -------- 16:00 0.06 ---- 0.12 0.05
 -------- 17:00 0.10 0.12 0.12 0.06
 16.10.12 18:00 0.09 0.12 0.11 0.05
 -------- 19:00 0.06 0.12 0.10 0.04
 -------- 20:00 0.09 0.25 0.11 0.05
 -------- 21:00 0.08 0.25 0.11 0.05
 -------- 22:00 0.07 0.25 0.10 0.03
 16.10.12 23:00 0.07 0.17 0.10 0.04
 -------- 00:00 0.09 0.12 0.11 0.08
 -------- 01:00 0.08 0.12 0.10 0.07
 -------- 02:00 0.07 0.17 0.10 0.05
 -------- 03:00 0.07 0.29 0.10 0.07
 17.10.12 04:00 0.07 0.25 0.10 0.07
 -------- 05:00 0.07 0.21 0.09 0.07
 -------- 06:00 0.10 0.21 0.09 0.10
 -------- 07:00 0.11 0.12 0.09 0.13
 -------- 08:00 0.11 0.12 0.09 0.14
 17.10.12 09:00 0.11 0.21 0.09 0.13
 -------- 10:00 0.09 0.25 0.08 0.11
 -------- 11:00 0.10 0.31 0.08 0.14
