 Date Time CO H2S NO2 CHX NO
 07.12.12 23:00 0.06 ---- 0.09 1.82 0.07
 -------- 00:00 0.09 ---- 0.11 2.95 0.14
 -------- 01:00 0.07 ---- 0.11 3.24 0.12
 -------- 02:00 0.05 ---- 0.10 2.07 0.07
 -------- 03:00 0.05 ---- 0.10 1.95 0.08
 08.12.12 04:00 0.07 ---- 0.10 1.87 0.10
 -------- 05:00 0.04 ---- 0.10 1.82 0.06
 -------- 06:00 0.07 ---- 0.11 1.85 0.11
 -------- 07:00 0.09 ---- 0.12 1.91 0.17
 -------- 08:00 0.12 ---- 0.10 1.86 0.07
 08.12.12 09:00 0.15 ---- 0.12 1.98 0.14
 -------- 10:00 0.13 ---- 0.10 2.06 0.10
 -------- 11:00 0.13 ---- 0.10 2.00 0.09
 -------- 12:00 0.13 ---- 0.11 2.02 0.12
 -------- 13:00 0.15 ---- 0.11 2.04 0.11
 08.12.12 14:00 0.11 ---- 0.09 2.06 0.07
 -------- 15:00 0.16 ---- 0.09 2.34 0.06
 -------- 16:00 0.12 ---- 0.09 6.51 0.06
 -------- 17:00 0.14 ---- 0.10 9.04 0.12
 -------- 18:00 0.14 ---- 0.10 2.70 0.09
 08.12.12 19:00 0.15 ---- 0.10 2.46 0.10
 -------- 20:00 0.11 ---- 0.09 2.28 0.07
 -------- 21:00 0.12 ---- 0.09 2.29 0.06
 -------- 22:00 0.13 ---- 0.09 2.23 0.08
 -------- 23:00 0.17 ---- 0.10 1.96 0.17
 09.12.12 00:00 0.16 ---- 0.10 1.89 0.16
 -------- 01:00 0.15 ---- 0.10 1.91 0.17
 -------- 02:00 0.17 ---- 0.11 2.10 0.22
 -------- 03:00 0.15 ---- 0.10 2.21 0.19
 -------- 04:00 0.14 ---- 0.09 2.27 0.16
 09.12.12 05:00 0.16 ---- 0.10 2.17 0.23
 -------- 06:00 0.15 ---- 0.13 2.14 0.30
 -------- 07:00 0.13 ---- 0.12 1.95 0.25
 -------- 08:00 0.09 ---- 0.11 2.03 0.21
 -------- 09:00 0.09 ---- 0.11 1.83 0.19
 09.12.12 10:00 0.08 ---- 0.10 1.85 0.16
 -------- 11:00 0.07 ---- 0.13 1.76 0.12
 -------- 12:00 0.09 ---- 0.14 1.77 0.13
 -------- 13:00 0.09 ---- 0.14 1.81 0.15
 -------- 14:00 0.09 ---- 0.14 1.81 0.14
 09.12.12 15:00 0.07 ---- 0.13 1.65 0.08
 -------- 16:00 0.09 ---- 0.15 2.10 0.12
 -------- 17:00 0.11 ---- 0.16 1.95 0.16
 -------- 18:00 0.21 ---- 0.17 2.28 0.23
 -------- 19:00 0.15 ---- 0.17 2.03 0.23
 09.12.12 20:00 0.18 ---- 0.18 2.17 0.24
 -------- 21:00 0.20 ---- 0.17 2.34 0.21
 -------- 22:00 0.19 ---- 0.17 2.48 0.29
 -------- 23:00 0.18 ---- 0.18 14.93 0.27
