 Date Time CO H2S NO2 CHX NO
 03.04.13 00:00 0.10 0.12 0.28 1.60 0.09
 -------- 01:00 0.07 0.25 0.26 1.57 0.06
 -------- 02:00 0.06 0.25 0.23 1.56 0.05
 -------- 03:00 0.06 0.25 0.23 1.54 0.04
 -------- 04:00 0.08 0.25 0.27 1.67 0.07
 03.04.13 05:00 0.06 0.33 0.25 1.66 0.06
 -------- 06:00 0.09 0.25 0.30 1.64 0.13
 -------- 07:00 0.13 0.25 0.31 1.65 0.16
 -------- 08:00 0.18 0.25 0.33 1.69 0.20
 -------- 09:00 0.19 0.25 0.34 1.68 0.22
 03.04.13 10:00 0.19 0.25 0.34 1.72 0.25
 -------- 11:00 0.20 0.25 0.34 1.72 0.27
 -------- 12:00 0.19 0.25 0.35 1.75 0.25
 -------- 13:00 0.19 0.25 0.34 1.77 0.24
 -------- 14:00 0.15 0.25 0.29 1.70 0.17
 03.04.13 15:00 0.11 0.25 0.24 1.70 0.11
 -------- 16:00 0.11 0.21 0.18 1.65 0.06
 -------- 17:00 0.10 0.25 0.25 1.59 0.09
 -------- 18:00 0.13 0.25 0.26 1.63 0.09
 -------- 19:00 0.08 0.25 0.26 1.56 0.07
 03.04.13 20:00 0.08 0.21 0.21 1.52 0.04
 -------- 21:00 0.08 0.12 0.22 1.52 0.05
 -------- 22:00 0.09 0.21 0.23 1.53 0.06
 -------- 23:00 0.09 0.21 0.24 1.52 0.05
 -------- 00:00 0.10 0.12 0.27 1.55 0.07
 04.04.13 01:00 0.11 0.17 0.28 1.61 0.07
 -------- 02:00 0.14 0.25 0.30 1.65 0.15
 -------- 03:00 0.13 0.21 0.30 1.66 0.17
 -------- 04:00 0.11 0.12 0.27 1.61 0.13
 -------- 05:00 0.11 0.12 0.31 1.61 0.15
 04.04.13 06:00 0.14 0.12 0.32 1.65 0.21
 -------- 07:00 0.09 0.12 0.27 1.60 0.11
 -------- 08:00 0.13 0.12 0.30 1.65 0.14
 -------- 09:00 0.10 0.12 0.28 1.70 0.13
 -------- 10:00 0.09 0.12 0.28 1.66 0.11
 04.04.13 11:00 0.08 0.12 0.29 1.63 0.11
 -------- 12:00 0.07 ---- 0.24 1.66 0.08
 -------- 13:00 0.07 ---- 0.24 1.59 0.08
 -------- 14:00 0.07 ---- 0.23 1.59 0.07
 -------- 15:00 0.07 ---- 0.27 1.69 0.09
 04.04.13 16:00 0.06 0.12 0.24 5.22 0.06
 -------- 17:00 0.07 ---- 0.28 2.00 0.08
 -------- 18:00 0.10 ---- 0.30 1.80 0.10
 -------- 19:00 0.13 0.12 0.34 1.90 0.13
 -------- 20:00 0.16 0.12 0.33 1.71 0.16
 04.04.13 21:00 0.14 0.12 0.31 1.68 0.14
 -------- 22:00 0.12 0.12 0.29 1.69 0.11
 -------- 23:00 0.08 0.12 0.24 1.92 0.05
