 Date Time CO H2S NO2 CHX NO
 06.11.12 00:00 0.08 0.19 0.08 1.44 0.02
 -------- 01:00 0.08 0.17 0.08 1.41 0.02
 -------- 02:00 0.07 0.21 0.06 1.40 0.02
 -------- 03:00 0.06 0.17 0.07 1.36 0.02
 -------- 04:00 0.06 0.12 0.08 1.39 0.02
 06.11.12 05:00 0.06 0.21 0.08 1.39 0.02
 -------- 06:00 0.08 0.25 0.09 1.44 0.02
 -------- 07:00 0.08 0.25 0.10 1.53 0.02
 -------- 08:00 0.09 ---- 0.12 1.72 0.03
 -------- 09:00 0.10 0.19 0.13 1.74 0.04
 06.11.12 10:00 0.12 0.25 0.13 1.72 0.06
 -------- 11:00 0.10 0.21 0.12 1.84 0.05
 -------- 12:00 0.10 0.25 0.12 1.80 0.05
 -------- 13:00 0.10 0.21 0.11 1.76 0.04
 -------- 14:00 0.12 0.42 0.11 1.99 0.04
 06.11.12 15:00 0.17 0.42 0.13 6.22 0.09
 -------- 16:00 0.15 0.33 0.13 4.95 0.11
 -------- 17:00 0.10 0.17 0.16 1.94 0.09
 -------- 18:00 0.12 0.12 0.19 1.47 0.09
 -------- 19:00 0.13 0.29 0.20 1.44 0.11
 06.11.12 20:00 0.09 0.46 0.16 1.44 0.09
 -------- 21:00 0.07 0.25 0.12 1.39 0.07
 -------- 22:00 0.07 0.25 0.12 1.38 0.05
 -------- 23:00 0.06 0.25 0.12 1.38 0.05
 -------- 00:00 0.06 0.29 0.12 1.38 0.06
 07.11.12 01:00 0.06 0.21 0.11 1.43 0.05
 -------- 02:00 0.07 0.17 0.11 1.54 0.05
 -------- 03:00 0.08 0.12 0.12 1.37 0.05
 -------- 04:00 0.08 ---- 0.11 1.42 0.05
 -------- 05:00 0.07 0.25 0.11 1.44 0.05
 07.11.12 06:00 0.07 0.42 0.12 1.38 0.07
 -------- 07:00 0.08 0.25 0.14 1.43 0.07
 -------- 08:00 0.11 0.25 0.16 1.44 0.09
 -------- 09:00 0.13 0.21 0.16 1.47 0.12
 -------- 10:00 0.15 0.29 0.16 1.54 0.13
 07.11.12 11:00 0.17 0.19 0.16 1.64 0.14
 -------- 12:00 0.16 ---- 0.14 1.60 0.13
 -------- 13:00 0.11 0.25 0.14 1.43 0.07
 -------- 14:00 0.13 0.42 0.17 1.48 0.10
 -------- 15:00 0.15 0.29 0.17 1.55 0.13
 07.11.12 16:00 0.14 0.12 0.16 1.55 0.12
 -------- 17:00 0.13 0.12 0.16 1.54 0.11
 -------- 18:00 0.14 0.12 0.17 1.53 0.11
 -------- 19:00 0.15 0.12 0.16 1.46 0.11
 -------- 20:00 0.19 0.12 0.16 1.48 0.12
 07.11.12 21:00 0.17 0.12 0.16 1.45 0.10
 -------- 22:00 0.15 0.12 0.15 1.44 0.08
 -------- 23:00 0.14 0.19 0.15 1.52 0.09
