 Date Time CO H2S NO2 NO
 30.09.12 00:00 0.29 0.19 0.21 0.28
 -------- 01:00 0.27 0.17 0.22 0.23
 -------- 02:00 0.21 0.17 0.19 0.14
 -------- 03:00 0.24 0.17 0.18 0.18
 -------- 04:00 0.17 0.12 0.18 0.15
 30.09.12 05:00 0.15 0.12 0.17 0.12
 -------- 06:00 0.15 0.12 0.17 0.11
 -------- 07:00 0.13 0.12 0.17 0.12
 -------- 08:00 0.20 0.12 0.17 0.18
 -------- 09:00 0.17 0.17 0.17 0.18
 30.09.12 10:00 0.15 0.21 0.16 0.14
 -------- 11:00 0.15 0.17 0.17 0.12
 -------- 12:00 0.14 0.25 0.18 0.10
 -------- 13:00 0.13 0.12 0.19 0.08
 -------- 14:00 0.11 0.12 0.18 0.06
 30.09.12 15:00 0.12 0.17 0.19 0.06
 -------- 16:00 0.11 0.12 0.18 0.06
 -------- 17:00 0.09 0.12 0.16 0.04
 -------- 18:00 0.07 0.12 0.11 0.02
 -------- 19:00 0.06 0.12 0.09 0.01
 30.09.12 20:00 0.09 0.25 0.10 0.02
 -------- 21:00 0.15 0.21 0.17 0.09
 -------- 22:00 0.11 0.54 0.14 0.06
 -------- 23:00 0.07 0.46 0.11 0.03
 -------- 00:00 0.06 0.12 0.10 0.02
 01.10.12 01:00 0.06 0.12 0.08 0.02
 -------- 02:00 0.05 0.12 0.07 0.01
 -------- 03:00 0.04 0.12 0.07 0.01
 -------- 04:00 0.04 0.12 0.07 0.01
 -------- 05:00 0.04 0.12 0.08 0.02
 01.10.12 06:00 0.05 0.12 0.10 0.03
 -------- 07:00 0.07 0.12 0.13 0.05
 -------- 08:00 0.10 0.25 0.13 0.04
 -------- 09:00 0.10 0.17 0.14 0.05
 -------- 10:00 0.10 0.12 0.14 0.05
 01.10.12 11:00 0.10 0.12 0.13 0.05
 -------- 12:00 0.09 0.12 0.13 0.05
 -------- 13:00 0.10 0.12 0.13 0.06
 -------- 14:00 0.10 0.12 0.14 0.06
 -------- 15:00 0.10 0.12 0.14 0.06
 01.10.12 16:00 0.10 0.12 0.13 0.05
 -------- 17:00 0.11 0.12 0.16 0.06
 -------- 18:00 0.15 ---- 0.18 0.09
 -------- 19:00 0.13 0.12 0.19 0.09
 -------- 20:00 0.12 0.12 0.21 0.12
 01.10.12 21:00 0.14 0.17 0.21 0.13
 -------- 22:00 0.16 0.17 0.21 0.14
 -------- 23:00 0.23 0.25 0.22 0.28
