 Date Time CO H2S NO2 CHX NO
 22.10.12 00:00 0.07 0.12 0.11 ---- 0.03
 -------- 01:00 0.06 0.12 0.10 ---- 0.02
 -------- 02:00 0.06 0.17 0.09 ---- 0.02
 -------- 03:00 0.05 0.19 0.09 ---- 0.02
 -------- 04:00 0.05 0.56 0.10 ---- 0.02
 22.10.12 05:00 0.06 0.17 0.11 ---- 0.03
 -------- 06:00 0.09 0.17 0.14 ---- 0.08
 -------- 07:00 0.11 0.17 0.17 ---- 0.15
 -------- 08:00 0.17 0.12 0.16 ---- 0.17
 -------- 09:00 0.15 0.12 0.17 ---- 0.21
 22.10.12 10:00 0.15 0.12 0.16 ---- 0.20
 -------- 11:00 0.10 0.12 0.12 ---- 0.14
 -------- 12:00 0.08 0.17 0.11 ---- 0.10
 -------- 13:00 0.06 0.12 0.08 1.38 0.09
 -------- 14:00 0.04 0.17 0.09 1.33 0.08
 22.10.12 15:00 0.03 0.17 0.12 1.41 0.06
 -------- 16:00 0.04 0.12 0.13 1.36 0.05
 -------- 17:00 0.03 0.12 0.12 1.34 0.04
 -------- 18:00 0.04 0.12 0.11 1.40 0.04
 -------- 19:00 0.04 0.12 0.12 1.35 0.04
 22.10.12 20:00 0.07 0.12 0.12 1.33 0.04
 -------- 21:00 0.08 0.12 0.12 1.33 0.04
 -------- 22:00 0.15 0.12 0.13 1.38 0.07
 -------- 23:00 0.11 0.12 0.11 1.38 0.05
 -------- 00:00 0.08 ---- 0.11 3.83 0.04
 23.10.12 01:00 0.07 0.12 0.10 1.73 0.04
 -------- 02:00 0.06 0.12 0.09 1.40 0.02
 -------- 03:00 0.05 0.12 0.10 1.34 0.03
 -------- 04:00 0.04 0.12 0.08 1.35 0.02
 -------- 05:00 0.05 0.12 0.10 1.37 0.03
 23.10.12 06:00 0.07 0.17 0.11 1.46 0.04
 -------- 07:00 0.11 0.21 0.12 1.46 0.05
 -------- 08:00 0.09 0.38 0.13 1.52 0.05
 -------- 09:00 0.13 0.21 0.14 1.59 0.07
 -------- 10:00 0.12 0.12 0.14 1.61 0.08
 23.10.12 11:00 0.09 0.12 0.13 1.58 0.03
 -------- 12:00 0.11 0.12 0.13 1.58 0.07
 -------- 13:00 0.11 0.12 0.13 1.68 0.07
 -------- 14:00 0.11 0.17 0.13 1.73 0.07
 -------- 15:00 0.12 0.12 0.14 3.97 0.09
 23.10.12 16:00 0.11 0.12 0.13 2.69 0.07
 -------- 17:00 0.11 0.12 0.12 1.79 0.06
 -------- 18:00 0.12 0.12 0.12 1.66 0.07
 -------- 19:00 0.09 0.12 0.11 1.70 0.04
 -------- 20:00 0.07 0.12 0.12 1.62 0.04
 23.10.12 21:00 0.07 ---- 0.13 1.60 0.04
 -------- 22:00 0.05 0.12 0.12 1.53 0.03
 -------- 23:00 0.04 0.12 0.11 1.63 0.02
