 Date Time CO H2S NO2 NO
 23.09.12 12:00 0.10 0.56 0.10 0.02
 -------- 13:00 0.10 0.31 0.10 0.02
 -------- 14:00 0.12 ---- 0.11 0.04
 -------- 15:00 0.19 0.17 0.15 0.11
 -------- 16:00 0.16 0.29 0.13 0.07
 23.09.12 17:00 0.21 0.19 0.14 0.13
 -------- 18:00 0.23 0.12 0.14 0.17
 -------- 19:00 0.25 0.25 0.14 0.17
 -------- 20:00 0.25 0.25 0.13 0.16
 -------- 21:00 0.21 0.17 0.13 0.13
 23.09.12 22:00 0.17 0.21 0.17 0.10
 -------- 23:00 0.14 0.33 0.17 0.07
 -------- 00:00 0.13 1.04 0.15 0.06
 -------- 01:00 0.12 0.62 0.14 0.06
 -------- 02:00 0.15 0.25 0.13 0.05
 24.09.12 03:00 0.11 0.62 0.12 0.06
 -------- 04:00 0.09 1.08 0.11 0.03
 -------- 05:00 0.08 0.71 0.10 0.03
 -------- 06:00 0.08 0.50 0.11 0.04
 -------- 07:00 0.10 0.58 0.13 0.05
 24.09.12 08:00 0.16 0.62 0.16 0.14
 -------- 09:00 0.16 0.33 0.14 0.13
 -------- 10:00 0.19 0.25 0.14 0.13
 -------- 11:00 0.15 0.12 0.14 0.10
 -------- 12:00 0.18 0.12 0.15 0.12
 24.09.12 13:00 0.19 0.12 0.15 0.11
 -------- 14:00 0.15 0.12 0.14 0.09
 -------- 15:00 0.13 0.12 0.15 0.09
 -------- 16:00 0.12 0.25 0.14 0.08
 -------- 17:00 0.13 0.12 0.14 0.10
 24.09.12 18:00 0.13 0.12 0.14 0.09
 -------- 19:00 0.13 0.50 0.14 0.10
 -------- 20:00 0.15 0.71 0.13 0.10
 -------- 21:00 0.14 0.38 0.13 0.09
 -------- 22:00 0.19 0.12 0.14 0.11
 24.09.12 23:00 0.13 0.12 0.13 0.09
 -------- 00:00 0.09 0.42 0.11 0.06
 -------- 01:00 0.08 0.58 0.10 0.04
 -------- 02:00 0.07 ---- 0.08 0.03
 -------- 03:00 0.06 0.12 0.07 0.02
 25.09.12 04:00 0.09 0.12 0.07 0.03
 -------- 05:00 0.07 0.12 0.07 0.03
 -------- 06:00 0.09 0.12 0.09 0.04
 -------- 07:00 0.07 0.12 0.10 0.04
 -------- 08:00 0.07 0.12 0.11 0.05
 25.09.12 09:00 0.07 0.12 0.12 0.06
 -------- 10:00 0.06 0.12 0.11 0.05
 -------- 11:00 0.06 ---- 0.11 0.05
