 Date Time CO H2S NO2 CHX NO
 16.11.12 12:00 0.10 0.12 0.16 1.48 0.07
 -------- 13:00 0.10 0.12 0.16 1.47 0.09
 -------- 14:00 0.11 0.21 0.17 1.49 0.10
 -------- 15:00 0.11 0.12 0.17 1.48 0.10
 -------- 16:00 0.11 ---- 0.17 1.47 0.09
 16.11.12 17:00 0.13 0.25 0.18 1.49 0.09
 -------- 18:00 0.11 0.25 0.17 1.49 0.08
 -------- 19:00 0.09 0.25 0.16 1.48 0.08
 -------- 20:00 0.08 0.25 0.17 1.51 0.09
 -------- 21:00 0.09 0.29 0.17 1.51 0.09
 16.11.12 22:00 0.09 0.12 0.16 1.51 0.09
 -------- 23:00 0.07 0.17 0.15 1.49 0.08
 -------- 00:00 0.05 0.25 0.15 1.51 0.06
 -------- 01:00 0.05 0.17 0.15 1.51 0.05
 -------- 02:00 0.05 0.12 0.15 1.53 0.05
 17.11.12 03:00 0.05 0.17 0.13 1.50 0.04
 -------- 04:00 0.03 0.25 0.12 1.48 0.03
 -------- 05:00 0.03 0.19 0.11 1.44 0.03
 -------- 06:00 0.03 0.12 0.13 1.47 0.04
 -------- 07:00 0.05 0.12 0.13 1.48 0.04
 17.11.12 08:00 0.07 ---- 0.16 1.50 0.07
 -------- 09:00 0.09 0.12 0.18 1.53 0.10
 -------- 10:00 0.10 0.12 0.17 1.52 0.10
 -------- 11:00 0.12 0.12 0.17 1.54 0.12
 -------- 12:00 0.11 0.21 0.16 1.55 0.10
 17.11.12 13:00 0.11 0.19 0.16 1.55 0.11
 -------- 14:00 0.13 ---- 0.17 1.55 0.12
 -------- 15:00 0.15 0.19 0.18 1.55 0.12
 -------- 16:00 0.14 0.33 0.18 1.57 0.13
 -------- 17:00 0.13 0.67 0.18 1.63 0.16
 17.11.12 18:00 0.13 0.71 0.17 1.62 0.14
 -------- 19:00 0.13 0.33 0.17 1.61 0.14
 -------- 20:00 0.11 0.38 0.16 1.58 0.11
 -------- 21:00 0.11 0.50 0.17 1.58 0.10
 -------- 22:00 0.15 0.75 0.17 1.65 0.14
 17.11.12 23:00 0.14 0.33 0.18 1.69 0.15
 -------- 00:00 0.13 0.54 0.18 1.65 0.14
 -------- 01:00 0.11 0.58 0.16 1.64 0.11
 -------- 02:00 0.09 0.71 0.16 1.62 0.09
 -------- 03:00 0.09 0.25 0.15 1.60 0.10
 18.11.12 04:00 0.09 0.42 0.14 2.49 0.09
 -------- 05:00 0.09 0.25 0.13 4.28 0.07
 -------- 06:00 0.08 0.17 0.13 1.75 0.06
 -------- 07:00 0.10 0.12 0.13 1.66 0.07
 -------- 08:00 0.08 0.25 0.12 1.60 0.06
 18.11.12 09:00 0.08 0.19 0.12 1.55 0.05
 -------- 10:00 0.09 ---- 0.13 1.53 0.07
 -------- 11:00 0.09 0.25 0.12 1.53 0.07
