 Date Time CO H2S NO2 CHX NO
 07.11.12 12:00 0.15 ---- 0.14 1.59 0.12
 -------- 13:00 0.11 0.25 0.14 1.43 0.07
 -------- 14:00 0.13 0.42 0.17 1.48 0.10
 -------- 15:00 0.15 0.29 0.17 1.55 0.13
 -------- 16:00 0.14 0.12 0.16 1.55 0.12
 07.11.12 17:00 0.13 0.12 0.16 1.54 0.11
 -------- 18:00 0.14 0.12 0.17 1.53 0.11
 -------- 19:00 0.15 0.12 0.16 1.46 0.11
 -------- 20:00 0.19 0.12 0.16 1.48 0.12
 -------- 21:00 0.17 0.12 0.16 1.45 0.10
 07.11.12 22:00 0.15 0.12 0.15 1.44 0.08
 -------- 23:00 0.14 0.25 0.15 2.03 0.08
 -------- 00:00 0.13 0.38 0.14 4.82 0.08
 -------- 01:00 0.11 0.19 0.11 2.02 0.05
 -------- 02:00 0.10 ---- 0.09 1.43 0.04
 08.11.12 03:00 0.09 0.12 0.10 1.35 0.03
 -------- 04:00 0.10 0.12 0.10 1.34 0.03
 -------- 05:00 0.12 0.12 0.12 1.33 0.06
 -------- 06:00 0.11 0.12 0.11 1.35 0.06
 -------- 07:00 0.09 0.44 0.11 1.31 0.04
 08.11.12 08:00 0.09 0.62 0.14 1.38 0.06
 -------- 09:00 0.09 0.38 0.16 1.40 0.06
 -------- 10:00 0.12 0.12 0.18 1.40 0.10
 -------- 11:00 0.09 0.17 0.16 1.39 0.08
 -------- 12:00 0.11 0.25 0.16 1.37 0.10
 08.11.12 13:00 0.13 0.29 0.17 1.38 0.10
 -------- 14:00 0.10 0.25 0.16 1.38 0.08
 -------- 15:00 0.11 0.25 0.17 1.39 0.08
 -------- 16:00 0.09 0.21 0.15 1.37 0.07
 -------- 17:00 0.10 0.25 0.16 1.36 0.07
 08.11.12 18:00 0.16 0.46 0.19 1.47 0.10
 -------- 19:00 0.12 0.50 0.18 1.45 0.07
 -------- 20:00 0.11 0.42 0.18 1.43 0.07
 -------- 21:00 0.12 0.38 0.17 1.39 0.08
 -------- 22:00 0.11 0.25 0.16 1.35 0.07
 08.11.12 23:00 0.10 0.38 0.17 1.36 0.07
 -------- 00:00 0.11 0.42 0.19 1.43 0.10
 -------- 01:00 0.11 0.54 0.17 1.45 0.09
 -------- 02:00 0.09 0.19 0.14 1.36 0.07
 -------- 03:00 0.09 0.25 0.14 1.34 0.06
 09.11.12 04:00 0.08 0.25 0.13 1.35 0.05
 -------- 05:00 0.10 0.19 0.14 1.40 0.08
 -------- 06:00 0.15 ---- 0.16 1.63 0.18
 -------- 07:00 0.16 0.38 0.15 2.01 0.18
 -------- 08:00 0.19 0.38 0.14 1.96 0.16
 09.11.12 09:00 0.16 0.25 0.13 1.82 0.12
 -------- 10:00 0.16 ---- 0.12 1.77 0.12
 -------- 11:00 0.15 0.12 0.13 1.79 0.13
