 Date Time CO H2S NO2 NO
 25.10.12 12:00 0.15 0.19 0.17 0.11
 -------- 13:00 0.15 0.12 0.17 0.14
 -------- 14:00 0.15 0.21 0.18 0.13
 -------- 15:00 0.13 0.12 0.17 0.11
 -------- 16:00 0.14 0.17 0.18 0.12
 25.10.12 17:00 0.14 0.19 0.17 0.12
 -------- 18:00 0.15 0.12 0.17 0.11
 -------- 19:00 0.15 0.12 0.17 0.10
 -------- 20:00 0.16 0.12 0.16 0.09
 -------- 21:00 0.16 0.12 0.15 0.09
 25.10.12 22:00 0.13 0.12 0.15 0.06
 -------- 23:00 0.13 0.17 0.15 0.06
 -------- 00:00 0.13 0.12 0.15 0.06
 -------- 01:00 0.10 0.12 0.12 0.03
 -------- 02:00 0.09 0.12 0.12 0.03
 26.10.12 03:00 0.08 0.12 0.09 0.02
 -------- 04:00 0.08 0.12 0.08 0.01
 -------- 05:00 0.09 ---- 0.10 0.02
 -------- 06:00 0.13 ---- 0.12 0.05
 -------- 07:00 0.09 ---- 0.12 0.05
 26.10.12 08:00 0.08 0.12 0.13 0.06
 -------- 09:00 0.11 0.12 0.15 0.10
 -------- 10:00 0.11 0.21 0.15 0.11
 -------- 11:00 0.14 0.25 0.16 0.14
 -------- 12:00 0.11 0.33 0.16 0.13
 26.10.12 13:00 0.08 0.42 0.16 0.10
 -------- 14:00 0.06 0.17 0.13 0.06
 -------- 15:00 0.06 0.17 0.14 0.06
 -------- 16:00 0.05 0.21 0.15 0.07
 -------- 17:00 0.07 0.21 0.12 0.05
 26.10.12 18:00 0.06 0.38 0.13 0.05
 -------- 19:00 0.07 0.50 0.15 0.05
 -------- 20:00 0.10 0.58 0.17 0.06
 -------- 21:00 0.11 0.33 0.17 0.07
 -------- 22:00 0.09 0.29 0.14 0.05
 26.10.12 23:00 0.07 0.46 0.13 0.04
 -------- 00:00 0.07 0.33 0.10 0.03
 -------- 01:00 0.06 0.33 0.09 0.02
 -------- 02:00 0.09 0.38 0.10 0.02
 -------- 03:00 0.11 0.12 0.10 0.02
 27.10.12 04:00 0.09 0.29 0.10 0.02
 -------- 05:00 0.06 0.29 0.10 0.02
 -------- 06:00 0.06 0.42 0.10 0.02
 -------- 07:00 0.05 0.42 0.12 0.03
 -------- 08:00 0.07 0.33 0.13 0.04
 27.10.12 09:00 0.14 0.12 0.15 0.08
 -------- 10:00 0.12 0.12 0.14 0.08
 -------- 11:00 0.14 0.12 0.13 0.07
