 Date Time CO H2S NO2 CHX NO
 28.09.12 00:00 0.08 0.25 0.15 8.40 0.02
 -------- 01:00 0.07 0.19 0.15 3.84 0.02
 -------- 02:00 0.07 0.12 0.13 1.83 0.02
 -------- 03:00 0.06 0.12 0.12 1.66 0.02
 -------- 04:00 0.05 0.12 0.11 1.62 0.01
 28.09.12 05:00 0.05 0.12 0.13 1.60 0.02
 -------- 06:00 0.07 0.12 0.17 1.83 0.03
 -------- 07:00 0.09 0.12 0.18 1.94 0.04
 -------- 08:00 0.15 0.12 0.19 1.87 0.06
 -------- 09:00 0.17 0.12 0.21 1.96 0.07
 28.09.12 10:00 0.18 0.12 0.22 1.96 0.09
 -------- 11:00 0.19 0.12 0.23 2.01 0.09
 -------- 12:00 0.15 0.12 0.20 1.97 0.06
 -------- 13:00 0.16 0.12 0.21 1.99 0.06
 -------- 14:00 0.17 0.12 0.23 4.15 0.06
 28.09.12 15:00 0.16 0.83 0.25 5.48 0.06
 -------- 16:00 0.17 0.21 0.25 2.15 0.06
 -------- 17:00 0.19 0.17 0.27 2.31 0.06
 -------- 18:00 0.21 0.17 0.30 2.31 0.07
 -------- 19:00 0.17 0.17 0.24 2.03 0.03
 28.09.12 20:00 0.16 0.17 0.22 2.16 0.03
 -------- 21:00 0.15 0.12 0.20 1.97 0.04
 -------- 22:00 0.13 0.17 0.13 1.68 0.03
 -------- 23:00 0.09 0.17 0.14 1.50 0.03
 -------- 00:00 0.08 0.25 0.11 1.46 0.02
 29.09.12 01:00 0.07 0.12 0.10 1.44 0.02
 -------- 02:00 0.08 0.17 0.10 1.45 0.02
 -------- 03:00 0.07 0.50 0.10 1.48 0.02
 -------- 04:00 0.07 0.54 0.11 1.50 0.03
 -------- 05:00 0.08 0.71 0.12 1.79 0.03
 29.09.12 06:00 0.08 0.71 0.13 1.56 0.04
 -------- 07:00 0.08 0.54 0.12 1.54 0.05
 -------- 08:00 0.08 0.46 0.13 1.55 0.05
 -------- 09:00 0.08 0.33 0.12 1.51 0.05
 -------- 10:00 0.07 0.25 0.12 1.47 0.03
 29.09.12 11:00 0.08 0.12 0.13 1.49 0.04
 -------- 12:00 0.07 0.12 0.11 1.50 0.03
 -------- 13:00 0.07 0.12 0.13 1.49 0.04
 -------- 14:00 0.08 0.25 0.13 1.49 0.04
 -------- 15:00 0.08 0.17 0.13 1.56 0.04
 29.09.12 16:00 0.09 0.25 0.14 1.49 0.04
 -------- 17:00 0.08 0.17 0.15 1.51 0.04
 -------- 18:00 0.09 0.12 0.16 1.58 0.04
 -------- 19:00 0.11 0.12 0.18 1.54 0.05
 -------- 20:00 0.14 1.12 0.21 1.59 0.08
 29.09.12 21:00 0.23 0.83 0.23 1.72 0.20
 -------- 22:00 0.29 1.38 0.23 1.97 0.27
 -------- 23:00 0.29 0.54 0.23 2.19 0.27
