 Date Time CO H2S NO2 NO
 27.09.12 12:00 0.04 0.12 0.10 0.04
 -------- 13:00 0.07 0.12 0.14 0.07
 -------- 14:00 0.04 0.17 0.12 0.04
 -------- 15:00 0.04 0.12 0.11 0.03
 -------- 16:00 0.04 ---- 0.12 0.03
 27.09.12 17:00 0.05 0.12 0.13 0.02
 -------- 18:00 0.07 0.12 0.17 0.04
 -------- 19:00 0.06 0.12 0.17 0.03
 -------- 20:00 0.08 0.12 0.15 0.03
 -------- 21:00 0.08 0.17 0.13 0.02
 27.09.12 22:00 0.09 0.17 0.14 0.02
 -------- 23:00 0.08 0.17 0.15 0.02
 -------- 00:00 0.08 0.25 0.15 0.02
 -------- 01:00 0.07 0.19 0.15 0.02
 -------- 02:00 0.07 0.12 0.13 0.02
 28.09.12 03:00 0.06 0.12 0.12 0.02
 -------- 04:00 0.05 0.12 0.11 0.01
 -------- 05:00 0.05 0.12 0.13 0.02
 -------- 06:00 0.07 0.12 0.17 0.03
 -------- 07:00 0.09 0.12 0.18 0.04
 28.09.12 08:00 0.15 0.12 0.19 0.06
 -------- 09:00 0.17 0.12 0.21 0.07
 -------- 10:00 0.18 0.12 0.22 0.09
 -------- 11:00 0.19 0.12 0.23 0.09
 -------- 12:00 0.15 0.12 0.20 0.06
 28.09.12 13:00 0.16 0.12 0.21 0.06
 -------- 14:00 0.17 0.12 0.23 0.06
 -------- 15:00 0.16 0.83 0.25 0.06
 -------- 16:00 0.17 0.21 0.25 0.06
 -------- 17:00 0.19 0.17 0.27 0.06
 28.09.12 18:00 0.21 0.17 0.30 0.07
 -------- 19:00 0.17 0.17 0.24 0.03
 -------- 20:00 0.16 0.17 0.22 0.03
 -------- 21:00 0.15 0.12 0.20 0.04
 -------- 22:00 0.13 0.17 0.13 0.03
 28.09.12 23:00 0.09 0.17 0.14 0.03
 -------- 00:00 0.08 0.25 0.11 0.02
 -------- 01:00 0.07 0.12 0.10 0.02
 -------- 02:00 0.08 0.17 0.10 0.02
 -------- 03:00 0.07 0.50 0.10 0.02
 29.09.12 04:00 0.07 0.54 0.11 0.03
 -------- 05:00 0.08 0.71 0.12 0.03
 -------- 06:00 0.08 0.71 0.13 0.04
 -------- 07:00 0.08 0.54 0.12 0.05
 -------- 08:00 0.08 0.46 0.13 0.05
 29.09.12 09:00 0.08 0.33 0.12 0.05
 -------- 10:00 0.07 0.25 0.12 0.03
 -------- 11:00 0.08 0.12 0.13 0.04
