 Date Time CO H2S NO2 NO
 20.09.12 00:00 0.11 0.44 0.24 0.07
 -------- 01:00 0.09 0.31 0.23 0.07
 -------- 02:00 0.07 0.12 0.20 0.05
 -------- 03:00 0.05 ---- 0.18 0.03
 -------- 04:00 0.04 ---- 0.17 0.02
 20.09.12 05:00 0.04 0.12 0.16 0.02
 -------- 06:00 0.05 0.21 0.18 0.04
 -------- 07:00 0.07 0.21 0.18 0.06
 -------- 08:00 0.10 0.17 0.17 0.08
 -------- 09:00 0.09 0.29 0.16 0.08
 20.09.12 10:00 0.10 0.33 0.17 0.10
 -------- 11:00 0.08 0.25 0.17 0.09
 -------- 12:00 0.09 ---- 0.19 0.08
 -------- 13:00 0.07 0.12 0.19 0.07
 -------- 14:00 0.03 0.12 0.17 0.04
 20.09.12 15:00 ---- 0.29 0.23 0.07
 -------- 16:00 ---- 0.38 0.24 0.07
 -------- 17:00 ---- 0.29 0.24 0.06
 -------- 18:00 0.02 0.25 0.27 0.07
 -------- 19:00 0.11 0.19 0.31 0.12
 20.09.12 20:00 0.35 0.12 0.28 0.07
 -------- 21:00 0.31 ---- 0.26 0.05
 -------- 22:00 0.31 0.12 0.26 0.05
 -------- 23:00 0.31 0.25 0.25 0.06
 -------- 00:00 0.37 0.21 0.25 0.09
 21.09.12 01:00 0.33 0.12 0.21 0.06
 -------- 02:00 0.33 0.12 0.20 0.06
 -------- 03:00 0.33 0.12 0.18 0.05
 -------- 04:00 0.34 0.12 0.17 0.05
 -------- 05:00 0.33 0.25 0.17 0.04
 21.09.12 06:00 0.37 ---- 0.18 0.05
 -------- 07:00 0.33 0.31 0.18 0.07
 -------- 08:00 0.21 0.21 0.17 0.09
 -------- 09:00 0.22 0.50 0.18 0.13
 -------- 10:00 0.23 0.58 0.20 0.15
 21.09.12 11:00 0.20 0.31 0.20 0.14
 -------- 12:00 0.17 ---- 0.21 0.10
 -------- 13:00 0.25 0.19 0.19 0.06
 -------- 14:00 0.23 0.12 0.19 0.06
 -------- 15:00 0.23 0.12 0.19 0.06
 21.09.12 16:00 0.21 0.12 0.19 0.06
 -------- 17:00 0.23 0.21 0.21 0.05
 -------- 18:00 0.28 0.38 0.29 0.11
 -------- 19:00 0.27 0.25 0.26 0.11
 -------- 20:00 0.21 ---- 0.18 0.18
 21.09.12 21:00 0.17 0.25 0.16 0.13
 -------- 22:00 0.13 0.38 0.15 0.09
 -------- 23:00 0.14 0.21 0.15 0.10
 -------- 00:00 0.12 0.12 0.14 0.08
