 Date Time CO H2S NO2 CHX NO
 17.03.13 00:00 0.10 0.19 0.21 1.83 0.11
 -------- 01:00 0.07 0.25 0.19 1.60 0.07
 -------- 02:00 0.07 0.17 0.21 1.59 0.07
 -------- 03:00 0.05 0.12 0.17 1.56 0.05
 -------- 04:00 0.04 0.12 0.16 1.54 0.03
 17.03.13 05:00 0.04 ---- 0.16 1.51 0.03
 -------- 06:00 0.04 ---- 0.19 1.49 0.03
 -------- 07:00 0.05 ---- 0.21 1.49 0.04
 -------- 08:00 0.06 ---- 0.22 1.51 0.05
 -------- 09:00 0.06 ---- 0.23 1.51 0.07
 17.03.13 10:00 0.07 ---- 0.23 1.52 0.07
 -------- 11:00 0.08 ---- 0.23 1.55 0.07
 -------- 12:00 0.08 ---- 0.21 1.58 0.08
 -------- 13:00 0.07 ---- 0.20 1.54 0.06
 -------- 14:00 0.09 ---- 0.23 1.54 0.09
 17.03.13 15:00 0.08 ---- 0.22 1.52 0.07
 -------- 16:00 0.10 ---- 0.24 1.54 0.09
 -------- 17:00 0.10 ---- 0.25 1.54 0.09
 -------- 18:00 0.10 ---- 0.25 1.57 0.08
 -------- 19:00 0.09 ---- 0.22 1.58 0.06
 17.03.13 20:00 0.06 ---- 0.18 1.54 0.03
 -------- 21:00 0.07 ---- 0.19 1.51 0.04
 -------- 22:00 0.07 ---- 0.19 1.54 0.04
 -------- 23:00 0.07 ---- 0.19 1.53 0.04
 -------- 00:00 0.06 ---- 0.17 1.52 0.02
 18.03.13 01:00 0.06 0.12 0.17 1.49 0.01
 -------- 02:00 0.06 0.12 0.18 1.50 0.01
 -------- 03:00 0.04 0.12 0.16 1.49 0.01
 -------- 04:00 0.05 0.12 0.20 1.53 0.05
 -------- 05:00 0.09 0.12 0.24 1.62 0.09
 18.03.13 06:00 0.08 0.12 0.24 1.63 0.06
 -------- 07:00 0.09 0.12 0.25 1.59 0.05
 -------- 08:00 0.12 0.12 0.26 1.61 0.09
 -------- 09:00 0.16 0.12 0.28 1.68 0.17
 -------- 10:00 0.15 0.12 0.26 1.74 0.15
 18.03.13 11:00 0.13 0.12 0.25 1.74 0.12
 -------- 12:00 0.12 0.12 0.23 1.70 0.10
 -------- 13:00 0.10 0.12 0.20 1.59 0.06
 -------- 14:00 0.09 0.12 0.20 1.62 0.06
 -------- 15:00 0.09 0.12 0.19 1.61 0.05
 18.03.13 16:00 0.08 0.17 0.16 1.54 0.03
 -------- 17:00 0.08 0.17 0.17 1.53 0.04
 -------- 18:00 0.08 0.17 0.16 1.53 0.03
 -------- 19:00 0.05 ---- 0.15 1.53 0.03
 -------- 20:00 0.04 ---- 0.16 1.53 0.02
 18.03.13 21:00 0.03 ---- 0.13 1.51 0.02
 -------- 22:00 0.03 ---- 0.13 1.53 0.02
 -------- 23:00 0.03 ---- 0.15 1.52 0.02
