 Date Time CO H2S NO2 CHX NO
 19.09.12 12:00 0.13 ---- 0.17 1.99 0.08
 -------- 13:00 0.13 ---- 0.18 1.86 0.07
 -------- 14:00 0.12 ---- 0.16 1.91 0.04
 -------- 15:00 0.12 0.12 0.17 1.80 0.05
 -------- 16:00 0.12 0.12 0.19 5.64 0.04
 19.09.12 17:00 0.15 0.19 0.25 8.68 0.07
 -------- 18:00 0.17 0.12 0.24 2.53 0.07
 -------- 19:00 0.15 0.21 0.25 2.21 0.06
 -------- 20:00 0.07 0.25 0.22 2.22 0.03
 -------- 21:00 0.07 0.19 0.23 1.99 0.03
 19.09.12 22:00 0.09 0.12 0.26 2.05 0.05
 -------- 23:00 0.13 0.29 0.26 2.25 0.09
 -------- 00:00 0.13 0.42 0.24 2.23 0.08
 -------- 01:00 0.09 0.31 0.23 2.08 0.07
 -------- 02:00 0.07 0.12 0.20 6.25 0.05
 20.09.12 03:00 0.05 ---- 0.18 6.42 0.03
 -------- 04:00 0.04 ---- 0.17 2.29 0.02
 -------- 05:00 0.04 0.12 0.16 1.94 0.02
 -------- 06:00 0.05 0.21 0.18 2.37 0.04
 -------- 07:00 0.07 0.21 0.18 2.28 0.06
 20.09.12 08:00 0.10 0.17 0.17 2.27 0.08
 -------- 09:00 0.09 0.29 0.16 2.02 0.08
 -------- 10:00 0.10 0.33 0.17 1.94 0.10
 -------- 11:00 0.08 0.25 0.17 1.93 0.09
 -------- 12:00 0.09 ---- 0.19 2.02 0.08
 20.09.12 13:00 0.07 0.12 0.19 1.95 0.07
 -------- 14:00 0.03 0.12 0.17 1.17 0.04
 -------- 15:00 ---- 0.29 0.23 ---- 0.07
 -------- 16:00 ---- 0.38 0.24 ---- 0.07
 -------- 17:00 ---- 0.29 0.24 ---- 0.06
 20.09.12 18:00 0.02 0.25 0.27 ---- 0.07
 -------- 19:00 0.11 0.19 0.31 ---- 0.12
 -------- 20:00 0.35 0.12 0.28 ---- 0.07
 -------- 21:00 0.31 ---- 0.26 ---- 0.05
 -------- 22:00 0.31 0.12 0.26 ---- 0.05
 20.09.12 23:00 0.31 0.25 0.25 ---- 0.06
 -------- 00:00 0.37 0.21 0.25 ---- 0.09
 -------- 01:00 0.33 0.12 0.21 ---- 0.06
 -------- 02:00 0.33 0.12 0.20 ---- 0.06
 -------- 03:00 0.33 0.12 0.18 ---- 0.05
 21.09.12 04:00 0.34 0.12 0.17 ---- 0.05
 -------- 05:00 0.33 0.25 0.17 ---- 0.04
 -------- 06:00 0.37 ---- 0.18 ---- 0.05
 -------- 07:00 0.33 0.31 0.18 ---- 0.07
 -------- 08:00 0.21 0.21 0.17 ---- 0.09
 21.09.12 09:00 0.22 0.50 0.18 ---- 0.13
 -------- 10:00 0.23 0.58 0.20 ---- 0.15
