 Date Time CO
 -------- 03:00 0.06
 -------- 04:00 0.07
 30.03.13 05:00 0.08
 -------- 06:00 0.09
 -------- 07:00 0.11
 -------- 08:00 0.14
 -------- 09:00 0.15
 30.03.13 10:00 0.13
 -------- 11:00 0.11
 -------- 12:00 0.09
 -------- 13:00 0.08
 -------- 14:00 0.06
 30.03.13 15:00 0.06
 -------- 16:00 0.05
 -------- 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 30.03.13 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.04
 31.03.13 01:00 0.03
 -------- 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.03
 -------- 06:00 0.02
 31.03.13 07:00 0.02
 -------- 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.03
 -------- 11:00 0.04
 31.03.13 12:00 0.04
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 0.05
 -------- 16:00 0.04
 31.03.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 31.03.13 22:00 0.05
 -------- 23:00 0.06
