 Date Time CO
 -------- 15:00 0.04
 -------- 16:00 0.04
 01.03.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 01.03.13 22:00 0.04
 -------- 23:00 0.04
 -------- 00:00 0.03
 -------- 01:00 0.04
 -------- 02:00 0.02
 02.03.13 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 02.03.13 08:00 0.02
 -------- 09:00 0.02
 -------- 10:00 0.03
 -------- 11:00 0.02
 -------- 12:00 0.02
 02.03.13 13:00 0.02
 -------- 14:00 0.02
 -------- 15:00 0.02
 -------- 16:00 0.02
 -------- 17:00 0.02
 02.03.13 18:00 0.02
 -------- 19:00 0.02
 -------- 20:00 0.03
 -------- 21:00 0.04
 -------- 22:00 0.04
 02.03.13 23:00 0.05
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.06
 -------- 03:00 0.06
 03.03.13 04:00 0.07
 -------- 05:00 0.08
 -------- 06:00 0.08
 -------- 07:00 0.08
 -------- 08:00 0.08
 03.03.13 09:00 0.08
 -------- 10:00 0.08
