 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.06
 04.02.13 17:00 0.04
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.04
 04.02.13 22:00 0.05
 -------- 23:00 0.05
 -------- 00:00 0.04
 -------- 01:00 0.04
 -------- 02:00 0.04
 05.02.13 03:00 0.02
 -------- 04:00 0.02
 -------- 05:00 0.02
 -------- 06:00 0.02
 -------- 07:00 0.02
 05.02.13 08:00 0.04
 -------- 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.04
 -------- 12:00 0.04
 05.02.13 13:00 0.04
 -------- 14:00 0.06
 -------- 15:00 0.06
 -------- 16:00 0.06
 -------- 17:00 0.06
 05.02.13 18:00 0.06
 -------- 19:00 0.05
 -------- 20:00 0.04
 -------- 21:00 0.04
 -------- 22:00 0.04
 05.02.13 23:00 0.04
